ID	Year	Source	MST-14	MST-69	MST-100	MST-109
SRR10009652	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10010399	2019	Human	singleton_34	cluster_1	cluster_1	cluster_1
SRR10037191	2019	Human	singleton_52	cluster_3	cluster_1	cluster_1
SRR10043663	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR10108699	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10113017	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10113046	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10123354	Unknown	Human	singleton_21	cluster_3	cluster_1	cluster_1
SRR10135945	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10154420	2019	Human	cluster_9	cluster_3	cluster_1	cluster_1
SRR10164136	2019	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR10174327	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10202207	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10207457	2019	Human	cluster_2	cluster_3	cluster_1	cluster_1
SRR10226366	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10239448	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10267828	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10303379	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR10341896	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10489378	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10541543	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10689948	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR10707926	2019	Human	singleton_93	cluster_3	cluster_1	cluster_1
SRR10718110	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10776683	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10842922	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR10875905	2019	Human	cluster_19	cluster_3	cluster_1	cluster_1
SRR10918769	2019	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR10951146	2019	Human	cluster_24	cluster_3	cluster_1	cluster_1
SRR10953144	2019	Human	singleton_53	cluster_3	cluster_1	cluster_1
SRR10958379	2019	Human	singleton_2	cluster_3	cluster_1	cluster_1
SRR11024551	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR11024945	2020	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR11027302	2020	Human	singleton_12	cluster_3	cluster_1	cluster_1
SRR11121815	2020	Human	cluster_15	cluster_3	cluster_1	cluster_1
SRR11165084	2020	Human	singleton_45	cluster_3	cluster_1	cluster_1
SRR11195960	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR11486717	2020	Swine	cluster_23	cluster_3	cluster_1	cluster_1
SRR11491063	2020	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR11557928	2020	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR11584883	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR11591889	2020	Human	singleton_30	cluster_3	cluster_1	cluster_1
SRR11615691	Unknown	Human	cluster_19	cluster_3	cluster_1	cluster_1
SRR11662091	2020	Human	cluster_9	cluster_3	cluster_1	cluster_1
SRR12340908	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR12471578	2020	Human	singleton_84	cluster_3	cluster_1	cluster_1
SRR12515142	2020	Human	singleton_10	cluster_3	cluster_1	cluster_1
SRR12574843	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR12939101	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR12993388	2020	Human	cluster_9	cluster_3	cluster_1	cluster_1
