ID	Year	Source	MST-14	MST-39	MST-154	MST-177	MST-275	MST-386	MST-2684
RS3094	2019	Turkey	singleton_719	singleton_614	cluster_46	cluster_35	cluster_15	cluster_1	cluster_2
RS3103	2020	Turkey	cluster_42	cluster_72	cluster_41	cluster_30	cluster_15	cluster_1	cluster_2
RS3184	2022	Turkey	cluster_288	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10002181	2019	Human	singleton_5620	singleton_3960	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10003416	2019	Human	singleton_4240	singleton_3150	singleton_924	cluster_138	cluster_15	cluster_1	cluster_2
SRR10003423	2019	Human	cluster_11	cluster_46	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10003444	2019	Human	singleton_1080	cluster_101	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10003467	2019	Human	cluster_22	cluster_39	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10003601	2019	Human	singleton_4797	singleton_3691	cluster_239	cluster_195	cluster_15	cluster_1	cluster_2
SRR10003612	2019	Human	cluster_22	cluster_39	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10005098	Unknown	Unspecified Animal	singleton_3972	singleton_2914	singleton_802	singleton_584	cluster_15	cluster_1	cluster_2
SRR10006705	2019	Human	singleton_578	cluster_46	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10007510	2019	Human	singleton_5200	singleton_3892	cluster_263	cluster_213	cluster_15	cluster_1	cluster_2
SRR10009332	2019	Human	singleton_3218	singleton_2177	singleton_520	singleton_388	cluster_15	cluster_1	cluster_2
SRR10009333	2019	Human	singleton_5203	singleton_3895	singleton_1199	singleton_869	cluster_15	cluster_1	cluster_2
SRR10009644	2019	Human	singleton_524	singleton_468	singleton_123	singleton_104	cluster_15	cluster_1	cluster_2
SRR10009844	2019	Human	singleton_4528	singleton_3434	cluster_279	cluster_230	cluster_15	cluster_1	cluster_2
SRR10009894	2019	Human	singleton_4183	singleton_3093	singleton_907	singleton_671	cluster_15	cluster_1	cluster_2
SRR10009904	2019	Human	singleton_4510	singleton_3416	singleton_1045	cluster_179	cluster_15	cluster_1	cluster_2
SRR10009908	2019	Human	singleton_3759	singleton_2706	cluster_149	cluster_116	cluster_15	cluster_1	cluster_2
SRR10010442	2019	Human	singleton_4649	singleton_3555	singleton_1104	singleton_800	cluster_15	cluster_1	cluster_2
SRR10012330	Unknown	Unspecified Animal	singleton_4766	singleton_3662	singleton_1131	singleton_817	cluster_15	cluster_1	cluster_2
SRR10012589	Unknown	Unspecified Animal	singleton_2931	cluster_211	cluster_271	cluster_218	cluster_15	cluster_1	cluster_2
SRR10012595	Unknown	Unspecified Animal	singleton_1271	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10012908	Unknown	Unspecified Animal	singleton_3772	singleton_2719	cluster_284	cluster_236	cluster_15	cluster_1	cluster_2
SRR10013368	2019	Human	singleton_4527	singleton_3433	singleton_1055	singleton_772	cluster_15	cluster_1	cluster_2
SRR10013426	2019	Turkey	cluster_42	cluster_72	cluster_41	cluster_30	cluster_15	cluster_1	cluster_2
SRR10015788	2019	Human	singleton_4248	singleton_3157	singleton_926	singleton_683	cluster_15	cluster_1	cluster_2
SRR10015800	2019	Human	singleton_2464	singleton_1625	singleton_330	singleton_261	cluster_15	cluster_1	cluster_2
SRR10018387	2019	Human	singleton_1939	singleton_1178	singleton_226	singleton_179	cluster_15	cluster_1	cluster_2
SRR10018714	2019	Human	singleton_4835	singleton_3720	cluster_296	cluster_252	cluster_15	cluster_1	cluster_2
SRR10018717	2019	Human	singleton_4826	cluster_266	cluster_296	cluster_252	cluster_15	cluster_1	cluster_2
SRR10022795	2019	Human	singleton_4821	cluster_266	cluster_296	cluster_252	cluster_15	cluster_1	cluster_2
SRR10024132	2019	Human	singleton_5789	singleton_4091	cluster_244	cluster_198	cluster_11	cluster_1	cluster_2
SRR10026191	2019	Human	singleton_5706	singleton_4020	cluster_191	cluster_158	cluster_15	cluster_1	cluster_2
SRR10026437	2019	Human	singleton_859	singleton_712	cluster_41	cluster_30	cluster_15	cluster_1	cluster_2
SRR10026484	2019	Human	singleton_4441	singleton_3347	cluster_266	cluster_214	cluster_15	cluster_1	cluster_2
SRR10026492	2019	Human	singleton_2398	singleton_1565	cluster_284	cluster_236	cluster_15	cluster_1	cluster_2
SRR10026516	2019	Human	singleton_3671	singleton_2621	cluster_269	cluster_236	cluster_15	cluster_1	cluster_2
SRR10026567	2019	Human	singleton_1130	cluster_20	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10028511	2019	Human	singleton_3141	singleton_2102	cluster_104	cluster_237	cluster_15	cluster_1	cluster_2
SRR10028580	2019	Human	singleton_4692	singleton_3598	cluster_232	cluster_230	cluster_15	cluster_1	cluster_2
SRR10029626	Unknown	Unspecified Animal	singleton_3388	singleton_2347	singleton_580	singleton_422	cluster_15	cluster_1	cluster_2
SRR10030186	2019	Human	singleton_3681	singleton_2631	cluster_269	cluster_236	cluster_15	cluster_1	cluster_2
SRR10030191	2019	Human	cluster_216	cluster_252	cluster_191	cluster_158	cluster_15	cluster_1	cluster_2
SRR10031099	2019	Human	singleton_580	cluster_46	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10031117	2019	Human	singleton_395	cluster_33	cluster_273	cluster_220	cluster_15	cluster_1	cluster_2
SRR10031363	2019	Human	singleton_2956	cluster_211	cluster_271	cluster_218	cluster_15	cluster_1	cluster_2
SRR10031588	2019	Human	singleton_984	singleton_805	cluster_37	cluster_27	cluster_15	cluster_1	cluster_2
SRR10032652	2019	Swine	cluster_114	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10032656	2019	Bovine	cluster_322	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10034863	2019	Human	singleton_2777	singleton_1892	cluster_84	cluster_63	cluster_15	cluster_1	cluster_2
SRR10034865	2019	Human	singleton_4339	singleton_3246	singleton_964	singleton_710	cluster_15	cluster_1	cluster_2
SRR10034867	2019	Human	singleton_4645	singleton_3551	singleton_1101	singleton_798	cluster_15	cluster_1	cluster_2
SRR10034991	2019	Human	singleton_4535	singleton_3441	cluster_220	cluster_179	cluster_15	cluster_1	cluster_2
SRR10035031	2019	Human	singleton_3199	singleton_2160	cluster_111	cluster_86	cluster_15	cluster_1	cluster_2
SRR10035037	2019	Human	singleton_4553	singleton_3459	singleton_1066	cluster_177	cluster_15	cluster_1	cluster_2
SRR10036500	2019	Human	singleton_4526	singleton_3432	singleton_1054	singleton_771	cluster_15	cluster_1	cluster_2
SRR10036814	Unknown	Human	singleton_3416	singleton_2375	cluster_275	cluster_226	cluster_15	cluster_1	cluster_2
SRR10037320	2019	Human	singleton_1132	singleton_928	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10037321	2019	Human	singleton_1665	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10037350	2019	Human	cluster_284	cluster_278	cluster_261	cluster_211	cluster_15	cluster_1	cluster_2
SRR10037851	2019	Human	singleton_5626	cluster_285	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10038628	2019	Human	cluster_95	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10038958	2019	Human	singleton_3116	singleton_2077	cluster_285	cluster_237	cluster_15	cluster_1	cluster_2
SRR10049688	2019	Human	singleton_2463	singleton_1624	singleton_329	singleton_260	cluster_9	cluster_1	cluster_2
SRR10049982	2019	Human	singleton_5783	singleton_4085	singleton_1271	singleton_928	cluster_15	cluster_1	cluster_2
SRR10050082	2019	Human	singleton_710	singleton_606	cluster_46	cluster_35	cluster_15	cluster_1	cluster_2
SRR10060622	2019	Bovine	singleton_5742	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10060847	2019	Human	singleton_1697	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10061035	2019	Human	singleton_1612	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10061084	2019	Human	singleton_1522	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10061091	2019	Human	singleton_122	singleton_112	cluster_10	cluster_235	cluster_15	cluster_1	cluster_2
SRR10061093	2019	Human	singleton_2567	singleton_1713	cluster_98	cluster_73	cluster_15	cluster_1	cluster_2
SRR10063064	2019	Human	singleton_4195	singleton_3105	cluster_201	cluster_241	cluster_15	cluster_1	cluster_2
SRR10067669	2019	Human	singleton_311	cluster_29	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10069013	2019	Human	singleton_5311	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10069020	2019	Human	cluster_239	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10072552	2019	Human	singleton_5178	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10075329	2019	Human	singleton_5168	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10079555	2019	Human	singleton_215	cluster_16	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10079685	2019	Human	singleton_4207	singleton_3117	singleton_912	singleton_673	cluster_15	cluster_1	cluster_2
SRR10082256	2019	Bovine	cluster_322	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10082287	2019	Turkey	singleton_867	cluster_72	cluster_41	cluster_30	cluster_15	cluster_1	cluster_2
SRR10084387	2019	Human	singleton_4007	cluster_237	cluster_157	cluster_128	cluster_15	cluster_1	cluster_2
SRR10084947	2019	Human	cluster_142	cluster_138	cluster_59	cluster_235	cluster_15	cluster_1	cluster_2
SRR10087048	2019	Human	singleton_3771	singleton_2718	cluster_284	cluster_236	cluster_15	cluster_1	cluster_2
SRR10087891	2019	Human	cluster_99	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10088692	2019	Human	singleton_398	cluster_34	cluster_273	cluster_220	cluster_15	cluster_1	cluster_2
SRR10093203	2019	Human	singleton_142	singleton_131	cluster_47	cluster_36	cluster_15	cluster_1	cluster_2
SRR10093381	2019	Human	singleton_2367	cluster_211	cluster_271	cluster_218	cluster_15	cluster_1	cluster_2
SRR10093388	2019	Human	singleton_3752	singleton_2699	cluster_151	cluster_118	cluster_15	cluster_1	cluster_2
SRR10093447	2019	Human	singleton_2929	cluster_211	cluster_271	cluster_218	cluster_15	cluster_1	cluster_2
SRR10093537	2019	Human	singleton_2919	cluster_211	cluster_271	cluster_218	cluster_15	cluster_1	cluster_2
SRR10093543	2019	Human	singleton_2933	cluster_211	cluster_271	cluster_218	cluster_15	cluster_1	cluster_2
SRR10096076	2019	Bovine	cluster_322	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10096551	2019	Human	singleton_944	singleton_774	cluster_49	cluster_50	cluster_15	cluster_1	cluster_2
SRR10096561	2019	Human	singleton_1742	singleton_1024	cluster_283	cluster_235	cluster_15	cluster_1	cluster_2
SRR10107522	2019	Human	singleton_726	singleton_620	cluster_46	cluster_35	cluster_15	cluster_1	cluster_2
SRR10108462	2019	Human	singleton_4218	singleton_3128	singleton_916	singleton_677	cluster_15	cluster_1	cluster_2
SRR10113035	2019	Human	singleton_3404	singleton_2363	singleton_589	singleton_429	cluster_15	cluster_1	cluster_2
SRR10113610	2019	Turkey	cluster_287	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10115951	2019	Human	singleton_3753	singleton_2700	cluster_151	cluster_118	cluster_15	cluster_1	cluster_2
SRR10115989	2019	Human	singleton_4538	singleton_3444	cluster_219	cluster_181	cluster_15	cluster_1	cluster_2
SRR10116001	2019	Human	singleton_3260	singleton_2219	cluster_286	cluster_239	cluster_15	cluster_1	cluster_2
SRR10116002	2019	Human	singleton_4521	singleton_3427	cluster_279	cluster_230	cluster_15	cluster_1	cluster_2
SRR10116007	2019	Human	singleton_4905	singleton_3774	cluster_248	cluster_250	cluster_15	cluster_1	cluster_2
SRR10116013	2019	Human	singleton_4519	singleton_3425	cluster_219	cluster_181	cluster_15	cluster_1	cluster_2
SRR10117889	2019	Human	singleton_4539	singleton_3445	singleton_1059	singleton_775	cluster_15	cluster_1	cluster_2
SRR10118786	2019	Human	singleton_4548	singleton_3454	singleton_1062	singleton_776	cluster_15	cluster_1	cluster_2
SRR10118790	2019	Human	singleton_4001	singleton_2940	cluster_157	cluster_128	cluster_15	cluster_1	cluster_2
SRR10119677	2019	Human	singleton_2541	cluster_188	cluster_82	cluster_73	cluster_15	cluster_1	cluster_2
SRR10119682	2019	Human	singleton_2601	singleton_1740	cluster_82	cluster_73	cluster_15	cluster_1	cluster_2
SRR10123463	2019	Turkey	cluster_42	cluster_72	cluster_41	cluster_30	cluster_15	cluster_1	cluster_2
SRR10124964	2019	Human	singleton_2481	singleton_1641	cluster_82	cluster_73	cluster_15	cluster_1	cluster_2
SRR10126732	2019	Human	singleton_1309	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10129351	2019	Human	singleton_3248	singleton_2207	cluster_286	cluster_239	cluster_15	cluster_1	cluster_2
SRR10129586	2019	Human	singleton_3987	singleton_2929	singleton_816	singleton_596	cluster_15	cluster_1	cluster_2
SRR10130864	2019	Human	singleton_3324	singleton_2283	cluster_286	cluster_239	cluster_15	cluster_1	cluster_2
SRR10131300	2019	Human	singleton_2054	cluster_152	cluster_273	cluster_220	cluster_15	cluster_1	cluster_2
SRR10131313	2019	Human	singleton_4274	singleton_3183	cluster_181	cluster_201	cluster_15	cluster_1	cluster_2
SRR10131489	2019	Human	cluster_114	cluster_292	cluster_298	cluster_254	cluster_16	cluster_2	cluster_2
SRR10135922	2019	Human	singleton_1035	singleton_839	cluster_21	cluster_235	cluster_15	cluster_1	cluster_2
SRR10136044	2019	Human	singleton_1795	singleton_1074	cluster_284	cluster_236	cluster_15	cluster_1	cluster_2
SRR10136162	2019	Human	singleton_4062	singleton_2976	cluster_158	cluster_129	cluster_15	cluster_1	cluster_2
SRR10136167	2019	Human	singleton_3870	singleton_2813	cluster_158	cluster_129	cluster_15	cluster_1	cluster_2
SRR10136189	2019	Human	singleton_4069	singleton_2983	cluster_158	cluster_129	cluster_15	cluster_1	cluster_2
