ID	Year	Source	MST-14	MST-49	MST-73	MST-79	MST-102	MST-140	MST-183	MST-209	MST-1131	MST-2019	MST-2915
RS311	2019	Chicken	singleton_5438	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
RS316	2019	Chicken	singleton_4708	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
RS913	2018	Turkey	singleton_4416	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
RS914	2018	Turkey	cluster_578	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
RS917	2018	Turkey	cluster_574	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
RS922	2018	Turkey	cluster_578	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10000382	2019	Human	cluster_240	cluster_58	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10000877	2019	Human	cluster_312	cluster_45	cluster_19	cluster_15	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10001133	2019	Human	cluster_142	cluster_58	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10002227	2019	Human	cluster_578	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10002292	2019	Human	cluster_578	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10005238	2019	Chicken	singleton_3896	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10005554	2019	Chicken	singleton_4168	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10006960	2019	Human	singleton_6128	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10006962	2019	Chicken	cluster_578	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10007514	2019	Human	cluster_578	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10007597	2019	Human	singleton_2157	cluster_58	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10008462	2019	Swine	singleton_3677	cluster_58	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10008467	2019	Chicken	cluster_578	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10008474	2019	Chicken	cluster_595	cluster_58	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10008475	2019	Bovine	cluster_203	cluster_58	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10008477	2019	Chicken	cluster_578	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10008480	2019	Chicken	cluster_488	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
SRR10010420	2019	Human	cluster_578	cluster_50	cluster_20	cluster_16	cluster_10	cluster_7	cluster_8	cluster_8	cluster_4	cluster_3	cluster_2
