ID	Year	Source	MST-39
SRR10001036	2019	Human	cluster_17
SRR10005448	2019	Human	cluster_17
SRR10012574	Unknown	Unspecified Animal	cluster_26
SRR10015736	2019	Human	cluster_17
SRR10018781	2019	Human	cluster_13
SRR10037995	2019	Swine	cluster_3
SRR10075115	2019	Human	cluster_26
SRR10075133	2019	Human	cluster_21
SRR10075393	2019	Human	cluster_26
SRR10078922	2019	Human	cluster_3
SRR10082187	2019	Human	cluster_23
SRR10082247	2019	Swine	cluster_26
SRR10119501	2019	Human	cluster_23
SRR10119502	2019	Human	cluster_23
SRR10119504	2019	Human	cluster_23
SRR10136220	2019	Human	cluster_17
SRR10156338	2019	Human	cluster_23
SRR10156341	2019	Human	cluster_23
SRR10164745	2019	Swine	cluster_17
SRR10164777	2019	Human	cluster_5
SRR10176076	2019	Human	cluster_17
SRR10216320	2019	Human	cluster_26
SRR10226358	2019	Human	cluster_3
SRR10228062	2019	Human	cluster_14
SRR10230035	2019	Swine	cluster_26
SRR10233383	2019	Human	cluster_17
SRR10251234	2019	Human	cluster_26
SRR10251584	Unknown	Unspecified Animal	cluster_25
SRR10276610	2019	Human	cluster_5
SRR10289959	2019	Human	cluster_5
SRR10307442	2019	Swine	cluster_17
SRR10340466	2019	Human	cluster_17
SRR10363875	2019	Swine	cluster_17
SRR10381282	2019	Human	cluster_23
SRR10447368	2019	Chicken	cluster_1
SRR10513291	2019	Human	cluster_26
SRR10533029	2019	Human	cluster_23
SRR10582792	2019	Swine	cluster_26
SRR10584573	2019	Human	cluster_26
SRR10612170	2019	Swine	cluster_3
SRR10691681	2019	Swine	cluster_26
SRR10708508	2019	Swine	cluster_23
SRR10719506	2019	Human	cluster_5
SRR10744667	2019	Human	cluster_14
SRR10763293	2019	Human	singleton_5
SRR10775256	2019	Human	cluster_26
SRR10806427	2019	Human	cluster_5
SRR10815621	2019	Swine	cluster_11
SRR10816089	2019	Human	cluster_11
SRR10816096	2019	Human	cluster_23
SRR10823774	2019	Human	cluster_26
SRR10879481	2019	Swine	cluster_26
SRR10879489	2019	Swine	cluster_26
SRR10879494	2019	Swine	cluster_26
SRR10879499	2019	Swine	cluster_26
SRR10879538	2019	Swine	cluster_26
SRR10981484	2020	Human	cluster_26
SRR11015402	2020	Swine	cluster_26
SRR11040157	2020	Chicken	cluster_25
SRR11043911	2020	Human	cluster_17
SRR11048510	2020	Swine	cluster_22
SRR11049983	2020	Swine	cluster_26
SRR11059527	2020	Swine	cluster_17
SRR11096329	2020	Swine	cluster_26
SRR11119321	2020	Swine	cluster_17
SRR11142459	2020	Swine	cluster_26
SRR11153196	2020	Swine	cluster_26
SRR11176435	2020	Swine	cluster_23
SRR11179378	2020	Human	cluster_25
SRR11190592	2020	Swine	cluster_26
SRR11193988	2020	Human	cluster_26
SRR11195964	2020	Swine	cluster_26
SRR11214794	2020	Swine	cluster_26
SRR11214862	2020	Human	cluster_26
SRR11235385	2020	Human	cluster_26
SRR11252393	2020	Swine	cluster_17
SRR11252527	2020	Swine	cluster_26
SRR11311797	2020	Swine	cluster_26
SRR11311809	2020	Swine	cluster_26
SRR11317804	2020	Swine	cluster_26
SRR11351642	2020	Swine	cluster_26
SRR11362781	2020	Swine	cluster_26
SRR11477190	2020	Human	cluster_24
SRR11477864	2020	Human	cluster_26
SRR11488854	2020	Swine	cluster_28
SRR11510980	2020	Swine	cluster_23
SRR11515338	2020	Human	cluster_25
SRR11584894	2020	Chicken	cluster_1
SRR11681157	2020	Swine	cluster_26
SRR11832998	2020	Swine	cluster_28
SRR11833366	2020	Swine	cluster_26
SRR11833391	2020	Swine	cluster_26
SRR11833472	2020	Swine	cluster_26
SRR11847316	2020	Swine	cluster_26
SRR11847319	2020	Swine	cluster_3
SRR11868382	2020	Human	cluster_26
SRR11879307	2020	Swine	cluster_3
SRR11879332	2020	Swine	cluster_26
SRR11928968	2020	Human	cluster_11
SRR11950139	2020	Swine	cluster_17
SRR12026408	2020	Swine	cluster_17
SRR12026414	2020	Swine	cluster_3
SRR12047282	2020	Swine	cluster_17
SRR12056326	2020	Swine	cluster_26
SRR12071728	2020	Swine	cluster_26
SRR12074057	2020	Swine	cluster_17
SRR12091616	2020	Swine	cluster_26
SRR12091669	2020	Swine	cluster_3
SRR12104778	2020	Bovine	cluster_26
SRR12112546	2020	Swine	cluster_17
SRR12215567	2020	Swine	cluster_3
SRR12216387	2020	Swine	cluster_26
SRR12229319	2020	Swine	cluster_3
SRR12317099	2020	Swine	cluster_26
SRR12321160	2020	Chicken	singleton_14
SRR12363269	2020	Swine	cluster_26
SRR12376960	2020	Swine	cluster_26
SRR12377481	2020	Swine	cluster_26
SRR12377535	2020	Human	cluster_5
SRR12388985	2020	Swine	cluster_17
SRR12411069	2020	Human	cluster_26
SRR12412960	2020	Human	cluster_17
SRR12455705	2020	Swine	cluster_26
SRR12475931	2020	Swine	cluster_17
