ID	Year	Source	MST-32
SRR10000369	2019	Human	NA
SRR10000370	2018	Human	NA
SRR10000751	2019	Human	NA
SRR10000861	2019	Human	cluster_107
SRR10000881	2019	Human	cluster_129
SRR10000947	2019	Human	NA
SRR10000951	2019	Human	NA
SRR10000952	2018	Human	NA
SRR10001034	2019	Human	cluster_179
SRR10001071	2019	Human	NA
SRR10001074	2019	Human	NA
SRR10001089	2019	Human	cluster_129
SRR10001090	2019	Human	cluster_104
SRR10001107	2019	Human	NA
SRR10001128	2019	Human	NA
SRR10001131	2019	Human	NA
SRR10001134	Unknown	Unspecified Animal	NA
SRR10001139	2019	Human	singleton_305
SRR10001144	2019	Human	cluster_175
SRR10001163	2019	Human	cluster_130
SRR10001195	2019	Human	cluster_1
SRR10002121	2019	Human	NA
SRR10002182	2019	Human	NA
SRR10002185	2019	Human	NA
SRR10002308	2019	Human	NA
SRR10002310	2019	Human	cluster_163
SRR10003129	2019	Human	NA
SRR10003375	2019	Human	NA
SRR10003378	2019	Human	NA
SRR10003384	2019	Human	NA
SRR10003386	2019	Human	NA
SRR10003411	2019	Human	NA
SRR10003431	2019	Human	NA
SRR10003434	2019	Human	cluster_163
SRR10003455	2019	Human	NA
SRR10003469	Unknown	Unspecified Animal	cluster_179
SRR10003476	2019	Human	cluster_130
SRR10003487	2019	Human	NA
SRR10003520	2019	Human	NA
SRR10003551	2019	Human	cluster_163
SRR10003554	2019	Human	NA
SRR10003562	2019	Human	NA
SRR10003563	2019	Human	NA
SRR10003571	2019	Human	NA
SRR10003585	Unknown	Unspecified Animal	NA
SRR10003588	2019	Human	NA
SRR10003597	2019	Human	cluster_115
SRR10003600	2019	Human	NA
SRR10003602	2019	Human	NA
SRR10003609	2019	Human	NA
SRR10003616	2019	Human	cluster_130
SRR10003621	2019	Human	NA
SRR10003629	2019	Human	NA
SRR10003639	2019	Human	NA
SRR10003646	2019	Human	cluster_129
SRR10003677	2019	Human	cluster_129
SRR10005173	Unknown	Unspecified Animal	cluster_160
SRR10005207	Unknown	Unspecified Animal	NA
SRR10005234	2019	Chicken	NA
SRR10005235	2019	Chicken	cluster_129
SRR10005236	2019	Chicken	NA
SRR10005239	2019	Chicken	NA
SRR10005397	2019	Human	NA
SRR10005401	2019	Human	NA
SRR10005433	2019	Human	NA
SRR10005449	2019	Human	NA
SRR10005458	2019	Human	NA
SRR10005460	2019	Human	NA
SRR10005570	2019	Chicken	NA
SRR10005839	2019	Human	cluster_179
SRR10005840	2019	Human	NA
SRR10005845	2019	Human	cluster_163
SRR10005847	2019	Human	NA
SRR10005851	2019	Human	NA
SRR10006706	Unknown	Human	cluster_181
SRR10006713	2019	Human	NA
SRR10006954	2019	Human	NA
SRR10007511	2019	Human	NA
SRR10007520	2019	Chicken	NA
SRR10007599	2019	Human	NA
SRR10007600	2019	Chicken	NA
SRR10007602	2019	Human	NA
SRR10007617	2019	Human	cluster_166
