ID	Year	Source	MST-49
SRR10000948	2019	Human	cluster_40
SRR10001023	2019	Human	cluster_42
SRR10001030	2019	Human	cluster_40
SRR10001092	2019	Human	cluster_40
SRR10001174	2019	Human	cluster_40
SRR10001188	2019	Human	cluster_42
SRR10001394	2019	Human	cluster_40
SRR10002186	2019	Human	cluster_40
SRR10003103	2019	Human	cluster_42
SRR10003116	2019	Human	cluster_40
SRR10003371	2019	Human	cluster_40
SRR10003387	2019	Human	cluster_40
SRR10003414	2019	Human	cluster_40
SRR10003420	2019	Human	cluster_40
SRR10003424	2019	Human	cluster_42
SRR10003438	2019	Human	cluster_42
SRR10005171	Unknown	Unspecified Animal	cluster_40
SRR10005228	2019	Chicken	cluster_22
SRR10005434	2019	Human	cluster_40
SRR10006301	2019	Human	cluster_40
SRR10007519	2019	Human	cluster_40
SRR10007630	2019	Human	cluster_42
SRR10008290	2019	Swine	cluster_40
SRR10008969	2019	Human	cluster_40
SRR10009541	2019	Human	cluster_40
SRR10009645	2019	Human	cluster_42
SRR10009828	2019	Human	cluster_42
SRR10009890	2019	Human	cluster_40
SRR10009906	2019	Human	cluster_40
SRR10010173	Unknown	Unspecified Animal	cluster_30
SRR10011111	2019	Human	cluster_40
SRR10011649	2019	Human	cluster_42
SRR10012200	2019	Human	cluster_42
SRR10012210	2019	Human	cluster_40
SRR10012211	2019	Human	cluster_42
SRR10012325	Unknown	Unspecified Animal	cluster_42
SRR10012533	Unknown	Unspecified Animal	cluster_42
SRR10012536	Unknown	Unspecified Animal	cluster_40
SRR10012567	Unknown	Unspecified Animal	cluster_40
SRR10012584	Unknown	Unspecified Animal	cluster_42
SRR10013298	2019	Chicken	cluster_42
SRR10013533	2019	Human	cluster_42
SRR10013604	2019	Human	cluster_40
SRR10015231	2019	Human	cluster_40
SRR10015884	2019	Human	cluster_42
SRR10015907	2019	Human	cluster_40
SRR10015923	2019	Human	cluster_40
SRR10016017	2019	Human	cluster_42
SRR10016052	2019	Human	cluster_42
SRR10016078	2019	Human	cluster_40
SRR10016088	2019	Human	cluster_40
SRR10017246	2018	Human	cluster_40
SRR10017418	2019	Human	cluster_40
SRR10018377	2019	Human	cluster_42
SRR10018499	2019	Human	cluster_42
SRR10018516	2019	Human	cluster_40
SRR10018519	2019	Human	cluster_42
SRR10018520	2019	Human	cluster_40
SRR10018571	2019	Human	cluster_42
SRR10018575	2019	Human	cluster_40
SRR10018710	2019	Human	cluster_40
SRR10018712	2019	Human	cluster_40
SRR10018721	2019	Human	cluster_40
SRR10018723	2019	Human	cluster_40
SRR10018726	2019	Human	cluster_40
SRR10018912	2019	Human	cluster_40
SRR10018979	2019	Human	cluster_40
SRR10023900	2019	Human	cluster_42
SRR10024049	2019	Human	cluster_40
SRR10024239	2019	Human	cluster_40
SRR10024591	2019	Human	cluster_42
SRR10024627	2019	Human	cluster_40
SRR10026069	2019	Human	cluster_40
SRR10026072	2019	Human	cluster_40
SRR10026074	2019	Human	cluster_40
SRR10026530	2019	Human	cluster_40
SRR10028575	2019	Human	cluster_40
SRR10030002	2019	Human	cluster_42
SRR10030029	2019	Human	cluster_40
SRR10031133	2019	Human	cluster_40
SRR10031139	2019	Human	cluster_42
SRR10031195	2019	Human	cluster_40
SRR10031276	2019	Human	cluster_40
SRR10031362	2019	Human	cluster_42
SRR10031507	Unknown	Human	cluster_40
SRR10032573	2019	Human	cluster_40
SRR10034315	2019	Human	cluster_40
SRR10034318	2019	Human	cluster_40
SRR10035034	2019	Human	cluster_40
SRR10035836	2019	Human	cluster_40
SRR10035889	2019	Human	cluster_40
SRR10036108	2019	Human	cluster_42
SRR10036402	2019	Human	cluster_42
SRR10036408	2019	Human	cluster_40
SRR10037298	2019	Human	cluster_40
SRR10037346	2019	Human	cluster_30
SRR10038000	2019	Swine	cluster_40
SRR10038937	2019	Human	cluster_42
SRR10038940	2019	Human	cluster_40
SRR10049444	2019	Human	cluster_40
SRR10049916	2019	Human	cluster_40
SRR10049981	2019	Human	cluster_40
SRR10050163	2019	Human	cluster_42
SRR10051119	2019	Human	cluster_40
SRR10051122	2019	Human	cluster_40
SRR10059561	2019	Human	cluster_40
SRR10060646	2019	Human	cluster_40
SRR10060656	2019	Human	cluster_40
SRR10061031	2019	Human	cluster_40
SRR10061449	2019	Chicken	cluster_42
SRR10062490	2019	Swine	cluster_40
SRR10063212	2019	Human	cluster_40
SRR10063324	2019	Human	cluster_40
SRR10065879	2019	Human	cluster_40
SRR10066665	2019	Human	cluster_40
SRR10067263	2019	Human	cluster_42
SRR10067665	2019	Human	cluster_42
SRR10067670	2019	Human	cluster_42
SRR10067677	2019	Human	cluster_40
SRR10067902	2019	Human	cluster_30
SRR10067915	2019	Human	cluster_42
SRR10067999	2019	Swine	cluster_30
SRR10068193	2019	Human	cluster_40
SRR10068209	2019	Human	cluster_40
SRR10068616	2019	Human	cluster_40
SRR10068922	2019	Human	cluster_40
SRR10068981	2019	Human	cluster_40
SRR10069009	2019	Human	cluster_40
SRR10069012	2019	Human	cluster_40
SRR10069029	2019	Human	cluster_40
SRR10071611	Unknown	Unspecified Animal	cluster_42
SRR10071617	2019	Human	cluster_42
SRR10071622	2019	Human	cluster_40
SRR10072438	2017	Human	cluster_40
SRR10072440	2017	Human	cluster_40
SRR10072522	2019	Human	cluster_42
SRR10072528	2019	Human	cluster_40
SRR10072546	2019	Human	cluster_42
SRR10072551	2019	Human	cluster_42
SRR10072554	2019	Human	cluster_40
SRR10075132	2019	Human	cluster_40
SRR10075998	2019	Swine	cluster_40
SRR10078187	2019	Human	cluster_42
SRR10078853	2019	Human	cluster_42
SRR10079682	2019	Human	cluster_42
SRR10080194	2019	Human	cluster_40
SRR10084937	2019	Human	cluster_40
SRR10087809	2019	Human	cluster_40
SRR10088401	2019	Human	cluster_40
SRR10088409	2019	Human	cluster_40
SRR10088411	2019	Human	cluster_40
SRR10088421	2019	Human	cluster_42
SRR10088599	2019	Chicken	cluster_42
SRR10089883	2019	Human	cluster_40
SRR10090203	2019	Human	cluster_40
SRR10090205	2019	Human	cluster_40
SRR10092268	2019	Human	cluster_42
SRR10092285	2019	Human	cluster_40
SRR10093194	2019	Human	cluster_40
SRR10093380	2019	Human	cluster_37
SRR10094018	2019	Human	cluster_42
SRR10094644	2019	Human	cluster_40
SRR10095188	2019	Other	cluster_30
SRR10095331	2019	Human	cluster_42
SRR10095847	2019	Human	cluster_40
SRR10095885	2019	Human	cluster_40
SRR10096071	2019	Swine	cluster_40
SRR10096548	2019	Human	cluster_40
SRR10096825	2019	Human	cluster_40
SRR10097221	2019	Human	cluster_40
SRR10097583	2019	Human	cluster_30
SRR10100105	2019	Human	cluster_42
SRR10102823	2019	Human	cluster_40
SRR10108404	Unknown	Human	cluster_40
SRR10108697	2019	Human	cluster_42
SRR10109385	2019	Human	cluster_42
SRR10113031	2019	Human	cluster_40
SRR10113048	2019	Human	cluster_42
SRR10113087	2019	Human	cluster_42
SRR10113148	Unknown	Unspecified Animal	cluster_42
SRR10113616	2019	Swine	cluster_40
SRR10115970	2019	Human	cluster_40
SRR10116012	2019	Human	cluster_40
SRR10117611	2019	Human	cluster_42
SRR10118998	2019	Human	cluster_40
SRR10119330	2019	Human	cluster_42
SRR10119678	2019	Human	cluster_40
SRR10120220	2019	Human	cluster_42
SRR10123343	2019	Human	cluster_42
SRR10123363	2019	Human	cluster_40
SRR10123371	2019	Human	cluster_40
SRR10123501	2019	Chicken	cluster_42
SRR10123666	2019	Human	cluster_42
SRR10124951	2019	Human	cluster_40
SRR10126377	2019	Human	cluster_40
SRR10126735	2019	Human	cluster_40
SRR10129537	2019	Turkey	cluster_40
SRR10129670	2019	Human	cluster_40
SRR10130125	2019	Human	cluster_40
SRR10130856	2019	Human	cluster_42
SRR10131511	2019	Human	cluster_40
SRR10133066	2019	Human	cluster_42
SRR10133164	2019	Human	cluster_40
SRR10133185	2019	Human	cluster_30
SRR10135978	2019	Human	cluster_42
SRR10136036	2019	Human	cluster_40
SRR10136052	2019	Human	cluster_42
SRR10136148	2019	Human	cluster_42
SRR10136199	2019	Human	cluster_40
SRR10136202	2019	Human	cluster_30
SRR10136225	2019	Human	cluster_40
SRR10136252	2019	Human	cluster_42
SRR10136325	2019	Human	cluster_40
SRR10138184	2019	Human	cluster_40
SRR10138322	2019	Human	cluster_40
SRR10138336	2019	Human	cluster_42
SRR10152517	2019	Human	cluster_42
