ID	Year	Source	MST-48
SRR10001026	2019	Human	cluster_37
SRR10001039	2019	Human	cluster_37
SRR10001093	2019	Human	cluster_37
SRR10001138	2019	Human	cluster_37
SRR10002180	2019	Human	cluster_24
SRR10002244	2019	Human	cluster_37
SRR10002523	Unknown	Unspecified Animal	cluster_37
SRR10002647	Unknown	Unspecified Animal	cluster_37
SRR10003427	2019	Human	cluster_37
SRR10003566	2019	Human	cluster_36
SRR10003617	2019	Human	cluster_37
SRR10007590	2019	Human	cluster_36
SRR10008464	2019	Bovine	cluster_36
SRR10009647	2019	Human	cluster_36
SRR10010165	Unknown	Unspecified Animal	cluster_36
SRR10010196	Unknown	Unspecified Animal	cluster_36
SRR10010416	2019	Human	cluster_37
SRR10010440	2019	Human	cluster_36
SRR10011117	Unknown	Unspecified Animal	cluster_37
SRR10011504	2019	Human	cluster_36
SRR10012204	2019	Human	cluster_36
SRR10012335	Unknown	Unspecified Animal	singleton_70
SRR10012582	Unknown	Unspecified Animal	cluster_37
SRR10012599	Unknown	Unspecified Animal	cluster_36
SRR10013132	Unknown	Unspecified Animal	cluster_36
SRR10013309	2019	Human	cluster_37
SRR10013465	2019	Human	cluster_37
SRR10015239	2019	Human	cluster_36
SRR10015241	2019	Human	cluster_36
SRR10015727	2019	Human	cluster_36
SRR10015920	2019	Human	cluster_36
SRR10016062	2019	Human	cluster_36
SRR10017399	2018	Human	cluster_36
SRR10017422	2019	Human	cluster_37
SRR10018515	2019	Human	cluster_36
SRR10018561	2019	Human	cluster_37
SRR10018715	2019	Human	cluster_36
SRR10018780	2019	Human	cluster_37
SRR10019046	2019	Human	cluster_37
SRR10024148	2019	Human	cluster_36
SRR10024223	2019	Human	cluster_36
SRR10024917	2019	Human	cluster_37
SRR10024921	2019	Human	cluster_37
SRR10024924	2019	Human	cluster_37
SRR10024931	2019	Human	cluster_37
SRR10026071	2019	Human	cluster_37
SRR10026489	2019	Human	cluster_36
SRR10026491	2019	Human	cluster_36
SRR10026501	2019	Human	cluster_36
SRR10026512	2019	Human	cluster_37
