ID	Year	Source	MST-35
SRR10006307	2019	Human	cluster_37
SRR10008449	2019	Chicken	cluster_40
SRR10009875	Unknown	Human	cluster_38
SRR10012240	Unknown	Unspecified Animal	cluster_37
SRR10015934	2019	Human	cluster_37
SRR10022799	2019	Chicken	cluster_40
SRR10027106	2019	Turkey	cluster_40
SRR10030376	2019	Chicken	cluster_40
SRR10031505	2019	Human	cluster_40
SRR10032659	2019	Chicken	cluster_40
SRR10037277	2019	Chicken	cluster_40
SRR10038926	2019	Chicken	cluster_40
SRR10043657	2019	Chicken	cluster_40
SRR10043661	2019	Chicken	cluster_40
SRR10044420	2019	Chicken	cluster_40
SRR10045188	2019	Chicken	cluster_40
SRR10061078	2019	Human	cluster_37
SRR10061174	2019	Human	cluster_38
SRR10062783	2019	Turkey	cluster_38
SRR10062784	2019	Chicken	cluster_40
SRR10071320	2019	Turkey	cluster_37
SRR10071333	2019	Chicken	cluster_40
SRR10082304	2019	Chicken	cluster_40
SRR10082307	2019	Chicken	cluster_40
SRR10082369	2019	Chicken	cluster_40
SRR10096035	2019	Human	cluster_39
SRR10107514	2019	Human	cluster_40
SRR10113203	2019	Chicken	cluster_40
SRR10123450	2019	Chicken	cluster_40
SRR10130118	2019	Chicken	cluster_40
SRR10132960	2019	Human	cluster_38
SRR10133179	2019	Human	cluster_40
SRR10136151	2019	Human	cluster_40
SRR10156140	2019	Swine	cluster_37
SRR10156179	2019	Chicken	cluster_40
SRR10162236	2019	Human	cluster_38
SRR10162508	2019	Chicken	cluster_40
SRR10162571	2019	Chicken	cluster_40
SRR10164081	2019	Chicken	cluster_40
SRR10164559	2019	Chicken	cluster_40
SRR10164566	2019	Swine	cluster_37
SRR10164743	2019	Chicken	cluster_40
SRR10165166	2019	Chicken	cluster_38
SRR10192943	2019	Chicken	cluster_40
SRR10192946	2019	Chicken	cluster_38
SRR10192949	2019	Turkey	cluster_37
SRR10192951	2019	Turkey	cluster_37
SRR10197215	2019	Chicken	cluster_40
SRR10206138	2019	Human	cluster_10
SRR10209737	2019	Chicken	cluster_40
SRR10210066	2019	Human	cluster_38
SRR10212945	2019	Swine	cluster_15
SRR10212982	2019	Chicken	cluster_40
SRR10228083	2019	Human	cluster_40
SRR10237518	2019	Chicken	cluster_40
SRR10237649	2019	Chicken	cluster_40
SRR10245587	2019	Chicken	cluster_40
SRR10245691	2019	Chicken	cluster_40
SRR10259208	2019	Chicken	cluster_40
SRR10259212	2019	Chicken	cluster_40
SRR10267777	2019	Human	cluster_38
SRR10286373	2019	Human	cluster_40
SRR10286922	2019	Chicken	cluster_40
SRR10295244	2019	Turkey	cluster_38
SRR10303372	2019	Chicken	cluster_40
SRR10303380	2019	Chicken	cluster_40
SRR10307455	2019	Chicken	cluster_40
SRR10309888	2019	Human	cluster_40
SRR10309921	2019	Human	cluster_40
SRR10317132	2019	Chicken	cluster_37
SRR10341304	2019	Chicken	cluster_40
SRR10343281	2019	Chicken	cluster_40
SRR10360505	2019	Chicken	cluster_40
SRR10360595	2019	Chicken	cluster_40
SRR10360599	2019	Turkey	cluster_37
SRR10360878	2019	Bovine	cluster_39
SRR10360908	2019	Chicken	cluster_40
SRR10363120	2019	Human	cluster_24
SRR10363871	2019	Chicken	cluster_40
SRR10397763	2019	Chicken	cluster_40
SRR10397770	2019	Chicken	cluster_40
SRR10400483	2019	Chicken	cluster_40
SRR10400493	2019	Chicken	cluster_40
SRR10435091	2019	Chicken	cluster_40
SRR10435112	2019	Chicken	cluster_40
SRR10435147	2019	Chicken	cluster_40
SRR10447385	2019	Chicken	cluster_40
SRR10447389	2019	Chicken	cluster_40
SRR10448568	2019	Human	cluster_39
SRR10451691	2019	Human	singleton_65
SRR10465635	2019	Chicken	cluster_40
SRR10480656	2019	Chicken	cluster_40
SRR10480676	2019	Chicken	cluster_40
SRR10482924	2019	Human	cluster_17
SRR10482925	2019	Human	cluster_17
SRR10489399	2019	Human	cluster_38
SRR10506970	2019	Human	cluster_37
SRR10512502	2019	Human	singleton_23
SRR10512556	2019	Turkey	cluster_37
SRR10514065	2019	Chicken	cluster_40
SRR10530322	2019	Chicken	cluster_40
SRR10533042	2019	Human	cluster_41
SRR10546738	2019	Chicken	cluster_40
SRR10569055	2019	Human	cluster_38
SRR10569059	2019	Human	cluster_38
SRR10569416	2019	Human	singleton_41
SRR10571641	2019	Turkey	cluster_37
SRR10574835	2019	Chicken	cluster_40
SRR10574886	2019	Turkey	cluster_40
SRR10577719	2019	Human	cluster_39
SRR10582727	2019	Chicken	cluster_40
SRR10582749	2019	Chicken	cluster_40
SRR10582789	2019	Chicken	cluster_33
SRR10608177	2019	Human	cluster_40
SRR10608992	2019	Human	cluster_17
SRR10611441	2019	Chicken	cluster_40
SRR10611462	2019	Chicken	cluster_40
SRR10611485	2019	Swine	cluster_39
SRR10611982	2019	Chicken	cluster_40
SRR10612143	2019	Chicken	cluster_40
SRR10612284	2019	Chicken	cluster_38
SRR10614272	2019	Chicken	cluster_40
SRR10615172	2019	Chicken	cluster_40
SRR10615178	2019	Chicken	cluster_40
SRR10615187	2019	Chicken	cluster_40
SRR10615222	2019	Chicken	cluster_40
SRR10615229	2019	Chicken	cluster_40
SRR10615236	2019	Bovine	cluster_39
SRR10615240	2019	Chicken	cluster_38
SRR10615966	2019	Human	cluster_27
SRR10616366	2019	Human	cluster_40
SRR10619593	2019	Human	cluster_33
SRR10669571	2019	Chicken	cluster_40
SRR10669572	2019	Chicken	cluster_40
SRR10669573	2019	Swine	cluster_38
SRR10669574	2019	Chicken	cluster_40
SRR10689796	2019	Chicken	cluster_40
SRR10691103	2019	Human	cluster_37
SRR10691119	2019	Human	cluster_37
SRR10691618	2019	Swine	cluster_40
SRR10692958	2019	Chicken	cluster_40
SRR10708491	2019	Chicken	cluster_40
SRR10733932	2019	Chicken	cluster_40
SRR10733934	2019	Chicken	cluster_40
SRR10740393	2019	Chicken	cluster_40
SRR10740760	2019	Chicken	cluster_40
SRR10746884	2019	Human	cluster_41
SRR10751470	2019	Chicken	cluster_40
SRR10752316	2019	Human	cluster_37
SRR10759706	2019	Human	cluster_40
SRR10771111	2019	Human	singleton_6
SRR10775268	2019	Turkey	cluster_39
SRR10805086	2019	Chicken	cluster_40
SRR10805110	2019	Chicken	cluster_40
SRR10815562	2019	Chicken	cluster_40
SRR10853293	2019	Chicken	cluster_40
SRR10853311	2019	Chicken	cluster_40
SRR10867892	2019	Human	cluster_37
SRR10870942	2020	Human	cluster_38
SRR10871469	2019	Human	cluster_10
SRR10873090	2019	Chicken	cluster_40
SRR10873171	2019	Chicken	cluster_40
