ID	Year	Source	MST-57
SRR10000381	2019	Human	cluster_11
SRR10007601	2019	Human	cluster_16
SRR10007629	2019	Human	cluster_14
SRR10010913	2019	Human	singleton_9
SRR10010941	2019	Human	cluster_14
SRR10016828	2019	Human	cluster_14
SRR10018563	2019	Human	cluster_11
SRR10018719	2019	Human	cluster_11
SRR10026075	2019	Human	cluster_14
SRR10031145	2019	Human	cluster_14
SRR10031605	2019	Human	cluster_14
SRR10035834	2019	Other	cluster_14
SRR10035838	2019	Other	cluster_14
SRR10035846	2019	Other	cluster_14
SRR10036381	2019	Human	cluster_10
SRR10038024	2019	Bovine	cluster_16
SRR10059400	2019	Human	cluster_12
SRR10061442	2019	Human	cluster_14
SRR10079568	2019	Human	cluster_11
SRR10080678	2019	Other	cluster_14
SRR10080682	2019	Other	cluster_14
SRR10080683	2019	Other	cluster_14
SRR10095980	2019	Human	cluster_11
SRR10095995	2019	Human	cluster_11
SRR10119156	2019	Bovine	cluster_16
SRR10148676	2019	Human	cluster_11
SRR10155177	2019	Bovine	cluster_16
SRR10156174	2019	Swine	cluster_14
SRR10156345	2019	Human	cluster_11
SRR10164046	2019	Human	cluster_14
SRR10165175	2019	Bovine	cluster_16
SRR10165311	2019	Bovine	cluster_11
SRR10166238	2019	Swine	cluster_14
SRR10172203	2019	Human	cluster_10
SRR10172231	2019	Human	cluster_16
SRR10190153	2019	Human	cluster_14
SRR10190331	2019	Human	cluster_16
SRR10210069	2019	Human	cluster_14
SRR10210598	2019	Human	cluster_14
SRR10211633	2019	Human	cluster_14
SRR10215631	2019	Human	cluster_11
SRR10224603	2019	Human	cluster_16
SRR10246383	2019	Bovine	cluster_16
SRR10250681	2019	Human	cluster_16
SRR10286381	2019	Human	cluster_16
SRR10286391	2019	Human	cluster_11
SRR10303365	2019	Bovine	cluster_16
SRR10303366	2019	Bovine	cluster_16
SRR10303385	2019	Bovine	cluster_16
SRR10303386	2019	Bovine	cluster_16
SRR10341103	2019	Bovine	cluster_16
SRR10341297	2019	Bovine	cluster_16
SRR10350338	2019	Human	cluster_16
SRR10368423	2019	Human	cluster_11
SRR10382558	2019	Human	singleton_4
SRR10389065	2019	Human	cluster_11
SRR10412228	2019	Human	cluster_14
