ID	Year	Source	MST-64
SRR10000363	2019	Human	cluster_261
SRR10000367	2019	Human	cluster_248
SRR10000368	2019	Human	cluster_247
SRR10000371	2019	Human	cluster_252
SRR10000375	2019	Human	cluster_231
SRR10000378	Unknown	Human	NA
SRR10000862	2019	Human	cluster_144
SRR10000867	2019	Human	NA
SRR10000870	2019	Human	cluster_261
SRR10000880	2019	Human	cluster_261
SRR10000886	2019	Human	NA
SRR10001024	2018	Human	NA
SRR10001025	2019	Human	cluster_252
SRR10001029	2019	Human	NA
SRR10001042	2019	Human	cluster_257
SRR10001073	2019	Human	cluster_252
SRR10001082	2019	Human	cluster_252
SRR10001084	2019	Human	NA
SRR10001183	2019	Human	NA
SRR10001200	2019	Human	NA
SRR10001220	2019	Human	NA
SRR10001473	2019	Human	NA
SRR10002149	2019	Human	NA
SRR10002240	2019	Human	cluster_261
SRR10002518	2019	Human	cluster_73
SRR10003121	2019	Human	NA
SRR10003394	2019	Human	cluster_261
SRR10003395	2019	Human	NA
SRR10003429	2019	Human	cluster_261
SRR10003436	2019	Human	cluster_268
SRR10003443	2019	Human	cluster_123
SRR10003460	2019	Human	cluster_261
SRR10003483	2019	Human	cluster_261
SRR10003547	2019	Human	NA
SRR10003548	2019	Human	cluster_247
SRR10003555	2019	Human	cluster_261
SRR10003575	2019	Human	NA
SRR10003592	2019	Human	cluster_261
SRR10003596	2019	Human	cluster_247
SRR10003623	2019	Human	cluster_252
SRR10003630	2019	Human	NA
SRR10003637	2019	Human	NA
SRR10003656	2019	Human	NA
SRR10005395	2019	Human	cluster_247
SRR10005427	2019	Human	NA
SRR10005459	2019	Human	cluster_261
SRR10005846	2019	Human	cluster_261
SRR10005860	2019	Human	NA
SRR10006306	2019	Human	cluster_206
SRR10006701	2019	Human	NA
SRR10006955	2019	Human	NA
SRR10006961	2019	Human	cluster_261
SRR10007512	2019	Human	NA
SRR10007521	2019	Human	cluster_170
SRR10007598	2019	Human	NA
SRR10007626	2019	Human	NA
SRR10007725	2019	Human	cluster_73
SRR10008294	2019	Chicken	NA
SRR10008447	2019	Other Animal	NA
SRR10008471	2019	Chicken	NA
SRR10009535	2019	Human	cluster_261
SRR10009654	2019	Human	NA
SRR10009836	2019	Human	NA
SRR10010167	Unknown	Unspecified Animal	NA
SRR10010183	Unknown	Unspecified Animal	NA
SRR10010195	Unknown	Unspecified Animal	NA
SRR10010198	Unknown	Unspecified Animal	cluster_206
SRR10010402	2019	Human	NA
SRR10010403	2019	Human	cluster_261
SRR10010405	2019	Human	NA
SRR10010417	2019	Human	cluster_252
SRR10010422	2019	Human	NA
SRR10010429	2019	Human	cluster_261
SRR10010431	2019	Human	cluster_261
SRR10010441	2019	Human	NA
SRR10010447	2019	Human	NA
SRR10010797	2019	Human	NA
SRR10010950	2019	Human	NA
SRR10010971	2019	Human	cluster_268
SRR10011484	2019	Human	NA
SRR10011503	2019	Human	NA
SRR10011646	2019	Human	NA
SRR10012196	Unknown	Human	cluster_252
SRR10012202	2019	Human	NA
SRR10012236	Unknown	Unspecified Animal	cluster_265
SRR10012241	Unknown	Unspecified Animal	NA
SRR10012344	Unknown	Unspecified Animal	NA
SRR10012399	Unknown	Unspecified Animal	NA
SRR10012531	Unknown	Unspecified Animal	cluster_261
SRR10012705	Unknown	Unspecified Animal	cluster_248
SRR10012910	2019	Human	cluster_181
SRR10013145	2019	Human	NA
SRR10013156	Unknown	Unspecified Animal	NA
SRR10013160	2019	Human	NA
SRR10013165	Unknown	Human	NA
SRR10013166	2019	Human	NA
SRR10013289	2019	Human	cluster_206
SRR10013312	2019	Human	NA
SRR10013320	2019	Human	NA
SRR10013375	2019	Human	cluster_259
SRR10013393	2019	Human	NA
SRR10013396	2019	Human	NA
SRR10013479	Unknown	Unspecified Animal	cluster_119
SRR10014032	2019	Human	cluster_261
SRR10015235	2019	Human	cluster_268
SRR10015273	Unknown	Unspecified Animal	NA
SRR10015715	2019	Human	cluster_73
SRR10015718	2019	Human	NA
SRR10015790	Unknown	Human	cluster_206
SRR10015809	2019	Human	cluster_252
SRR10015876	2019	Human	cluster_248
SRR10015879	2019	Human	cluster_261
SRR10015906	2019	Human	cluster_261
SRR10015914	2019	Human	NA
SRR10015933	2019	Human	cluster_252
SRR10016009	2019	Human	cluster_247
SRR10016012	2019	Human	cluster_261
SRR10016018	2019	Human	cluster_261
SRR10016023	2019	Human	cluster_257
SRR10016025	2019	Human	cluster_261
SRR10016031	2019	Human	NA
SRR10016038	2019	Human	NA
SRR10016040	2019	Human	cluster_123
SRR10016041	2019	Human	cluster_261
SRR10016048	2019	Human	NA
SRR10016070	2019	Human	cluster_252
SRR10016073	2019	Human	NA
SRR10016087	2019	Human	cluster_261
SRR10016095	2019	Human	cluster_123
SRR10016100	2019	Human	NA
SRR10016102	2019	Human	NA
SRR10016105	2019	Human	cluster_123
SRR10017417	2019	Human	NA
SRR10017646	2018	Human	cluster_257
SRR10017920	2019	Human	cluster_123
SRR10017958	2019	Human	NA
SRR10017962	2019	Human	NA
SRR10018050	2019	Human	cluster_123
SRR10018121	2019	Human	cluster_261
SRR10018231	2019	Human	cluster_261
SRR10018361	2019	Human	NA
SRR10018365	2019	Human	cluster_248
SRR10018366	2019	Human	NA
SRR10018375	2019	Human	cluster_265
SRR10018380	2019	Human	cluster_252
SRR10018383	2019	Human	cluster_123
SRR10018386	2019	Human	NA
SRR10018498	2019	Human	singleton_52
SRR10018507	2019	Human	NA
SRR10018562	2019	Human	NA
SRR10018568	2019	Human	NA
SRR10018572	2019	Human	NA
SRR10018576	2019	Human	cluster_92
SRR10018779	2019	Human	NA
SRR10018909	2019	Human	cluster_259
SRR10019069	2019	Human	NA
SRR10019098	2019	Human	cluster_178
SRR10019370	2019	Human	NA
SRR10022292	2019	Human	NA
SRR10022294	2019	Human	NA
SRR10022803	2019	Chicken	NA
SRR10023912	2019	Human	NA
SRR10023913	2019	Human	cluster_259
SRR10023919	2019	Bovine	cluster_252
SRR10023950	2019	Human	NA
SRR10024037	2019	Human	NA
SRR10024050	2019	Human	cluster_261
SRR10024071	2019	Other	NA
SRR10024145	2019	Human	cluster_261
SRR10024314	2019	Human	NA
SRR10024589	2019	Human	NA
SRR10024613	2019	Human	NA
SRR10024616	2019	Human	cluster_247
SRR10024617	2019	Human	NA
SRR10024619	2019	Human	cluster_210
SRR10024652	2019	Human	cluster_252
SRR10024971	2019	Human	cluster_206
SRR10024976	2019	Human	cluster_67
SRR10024977	2019	Chicken	NA
SRR10026073	2019	Human	cluster_170
SRR10026383	2019	Human	NA
SRR10026391	2019	Human	NA
SRR10026418	2019	Human	cluster_252
SRR10026440	2019	Human	cluster_252
SRR10026454	2019	Human	NA
SRR10026455	2019	Human	cluster_259
SRR10026456	2019	Human	cluster_259
SRR10026457	2019	Human	cluster_259
SRR10026462	2019	Human	NA
SRR10026481	2019	Human	NA
SRR10026524	2019	Human	cluster_259
SRR10027105	2019	Chicken	cluster_267
SRR10027146	2019	Chicken	NA
SRR10029285	2019	Bovine	NA
SRR10029638	2019	Human	cluster_252
SRR10029678	2019	Human	NA
SRR10029991	2019	Human	singleton_208
SRR10030014	2019	Human	NA
SRR10030021	2019	Human	NA
SRR10030027	2019	Human	cluster_252
SRR10030178	2019	Human	cluster_95
SRR10030184	2019	Human	NA
SRR10030207	2019	Human	cluster_258
SRR10030294	2019	Human	NA
SRR10030330	2019	Human	NA
SRR10030377	2019	Human	NA
SRR10031113	2019	Human	NA
SRR10031132	2019	Human	NA
SRR10031137	2019	Human	NA
SRR10031147	2019	Human	cluster_114
SRR10031169	2019	Human	NA
SRR10031278	2019	Human	cluster_247
SRR10031285	2019	Human	NA
SRR10031304	2019	Human	NA
SRR10031311	2019	Human	NA
SRR10031327	2019	Human	NA
SRR10031336	2019	Human	cluster_214
SRR10031337	2019	Human	NA
SRR10031596	2019	Human	NA
SRR10032575	2019	Human	cluster_37
SRR10032584	2019	Human	cluster_252
SRR10034311	2019	Human	NA
SRR10034861	2019	Human	NA
SRR10034864	2019	Human	NA
SRR10034988	2019	Human	cluster_261
SRR10035007	2019	Human	NA
SRR10035008	2019	Human	cluster_261
SRR10035035	2019	Human	cluster_123
SRR10035054	2019	Human	NA
SRR10035371	2019	Human	cluster_261
SRR10035395	2019	Human	NA
SRR10035472	2019	Human	NA
SRR10036001	2019	Human	NA
SRR10036015	2019	Human	cluster_97
SRR10036103	2019	Human	NA
SRR10036393	2019	Human	NA
SRR10036404	2019	Human	NA
SRR10036407	2019	Human	cluster_261
SRR10036411	2019	Human	cluster_252
SRR10036489	2019	Human	cluster_261
SRR10036492	2019	Human	NA
SRR10036971	2019	Human	singleton_140
SRR10037193	2019	Human	cluster_261
SRR10037219	2019	Human	cluster_261
SRR10037222	2019	Human	cluster_252
SRR10037223	2019	Human	NA
SRR10037235	2019	Human	cluster_268
SRR10037236	2019	Human	NA
SRR10037289	2019	Human	NA
SRR10037299	2019	Human	cluster_261
SRR10037308	2019	Human	cluster_265
SRR10037319	2019	Human	cluster_259
SRR10037322	2019	Human	cluster_259
SRR10037348	2019	Human	cluster_259
SRR10037875	2019	Human	NA
SRR10037878	2019	Human	NA
SRR10037999	2019	Chicken	cluster_267
SRR10038624	2019	Human	cluster_261
SRR10038626	2019	Human	cluster_267
SRR10038638	2019	Human	cluster_261
SRR10038932	2019	Human	cluster_206
SRR10038939	2019	Human	cluster_257
SRR10038941	2019	Human	NA
SRR10038942	2019	Human	cluster_252
SRR10038953	2019	Human	cluster_261
SRR10038960	2019	Human	cluster_261
SRR10038971	2019	Human	cluster_123
SRR10039263	2019	Chicken	cluster_239
SRR10042381	Unknown	Unspecified Animal	NA
SRR10042391	Unknown	Unspecified Animal	cluster_206
