ID	Year	Source	MST-14	MST-69	MST-93	MST-105	MST-118	MST-148	MST-321	MST-918
SRR10003541	2019	Human	cluster_83	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10003545	2019	Human	singleton_89	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR10010972	2019	Human	cluster_47	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10013302	2019	Human	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10015269	2019	Human	cluster_2	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10015805	2019	Human	singleton_283	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10018360	2019	Human	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10031168	2019	Human	singleton_5	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10031275	2019	Human	singleton_77	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10045328	2019	Turkey	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10045329	2019	Turkey	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10061080	2019	Human	singleton_237	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10082231	2019	Turkey	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10088486	2019	Human	cluster_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10094679	2019	Bovine	cluster_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10113217	2019	Turkey	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10115982	2019	Human	cluster_28	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10132957	2019	Human	singleton_75	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10135912	2019	Human	singleton_135	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10156333	2019	Human	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10162481	2019	Human	singleton_179	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10162583	2019	Turkey	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10163281	2019	Human	cluster_28	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10164073	2019	Bovine	cluster_30	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10165302	2019	Bovine	cluster_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
