ID	Year	Source	MST-45
SRR10000382	2019	Human	cluster_67
SRR10000877	2019	Human	cluster_60
SRR10000885	2019	Human	NA
SRR10001133	2019	Human	cluster_67
SRR10002227	2019	Human	cluster_61
SRR10002292	2019	Human	cluster_61
SRR10003377	2019	Human	NA
SRR10003478	2019	Human	NA
SRR10003678	2019	Human	NA
SRR10005233	2019	Chicken	NA
SRR10005238	2019	Chicken	cluster_61
SRR10005398	2019	Human	NA
SRR10005554	2019	Chicken	cluster_61
SRR10006723	2019	Human	NA
SRR10006960	2019	Human	cluster_61
SRR10006962	2019	Chicken	cluster_61
SRR10007514	2019	Human	cluster_61
SRR10007597	2019	Human	cluster_69
SRR10008462	2019	Swine	cluster_67
SRR10008467	2019	Chicken	cluster_61
SRR10008474	2019	Chicken	cluster_69
SRR10008475	2019	Bovine	cluster_69
SRR10008477	2019	Chicken	cluster_61
SRR10008480	2019	Chicken	cluster_61
SRR10009865	Unknown	Unspecified Animal	NA
SRR10009891	2019	Human	NA
SRR10010420	2019	Human	cluster_61
SRR10010790	2019	Human	cluster_67
SRR10010792	2019	Human	cluster_67
SRR10012554	Unknown	Unspecified Animal	NA
SRR10012577	Unknown	Unspecified Animal	cluster_67
SRR10013155	Unknown	Unspecified Animal	cluster_69
SRR10013168	2019	Human	NA
SRR10013318	2019	Human	cluster_69
SRR10013351	2019	Human	cluster_61
SRR10013378	2019	Human	cluster_67
SRR10013399	2019	Human	cluster_67
SRR10013401	2019	Chicken	cluster_61
SRR10013402	2019	Chicken	NA
SRR10013431	2019	Chicken	cluster_61
SRR10013523	2019	Human	cluster_61
SRR10013589	2019	Human	cluster_67
SRR10015723	2019	Human	cluster_67
SRR10015726	2019	Human	cluster_67
SRR10015794	2019	Human	cluster_51
SRR10015922	Unknown	Human	cluster_61
SRR10016027	2019	Human	cluster_51
SRR10016033	2019	Human	cluster_69
SRR10016086	2019	Human	cluster_61
SRR10016097	2019	Human	cluster_67
SRR10016941	2019	Swine	NA
SRR10016946	2019	Swine	cluster_60
SRR10017018	2019	Swine	cluster_60
SRR10017425	2018	Human	NA
SRR10018363	2019	Human	NA
SRR10018502	2019	Human	cluster_67
SRR10018557	2019	Human	NA
SRR10018569	2019	Human	cluster_69
SRR10018786	2019	Human	cluster_61
SRR10018795	2019	Human	NA
SRR10018799	2019	Human	cluster_67
SRR10018800	2019	Human	cluster_67
SRR10024630	2019	Human	NA
SRR10024635	2019	Human	cluster_69
SRR10024648	2019	Human	cluster_61
SRR10024928	2019	Human	cluster_60
SRR10024930	2019	Chicken	cluster_61
SRR10024937	2019	Chicken	cluster_61
SRR10024941	2019	Chicken	cluster_61
SRR10024946	2019	Chicken	cluster_61
SRR10026518	2019	Human	cluster_67
SRR10027133	2019	Chicken	cluster_67
SRR10027409	2019	Chicken	cluster_61
SRR10029284	2019	Chicken	NA
SRR10030062	2019	Human	NA
SRR10031106	2019	Human	cluster_67
SRR10031144	2019	Human	NA
SRR10031149	2019	Human	NA
SRR10031150	2019	Human	cluster_67
SRR10031163	2019	Human	NA
SRR10031351	2019	Human	cluster_61
SRR10032646	2019	Chicken	NA
SRR10032648	2019	Chicken	cluster_61
SRR10032657	2019	Swine	cluster_67
SRR10032658	2019	Chicken	cluster_61
SRR10032660	2019	Chicken	cluster_61
SRR10034317	2019	Human	cluster_69
SRR10035039	2019	Human	cluster_67
SRR10035845	2019	Human	cluster_67
SRR10035887	2019	Human	cluster_61
SRR10035893	2019	Human	cluster_69
SRR10036096	2019	Human	cluster_69
SRR10037183	2019	Chicken	cluster_61
SRR10037184	2019	Turkey	cluster_61
SRR10037996	2019	Chicken	cluster_61
SRR10042796	2019	Other	cluster_60
SRR10043658	2019	Chicken	cluster_61
SRR10043659	2019	Chicken	NA
SRR10044100	2019	Chicken	NA
SRR10044418	2019	Chicken	cluster_61
SRR10045189	2019	Chicken	cluster_61
SRR10045192	2019	Chicken	cluster_61
SRR10045216	2019	Turkey	cluster_61
SRR10045330	2019	Chicken	NA
SRR10049593	2019	Human	cluster_26
SRR10049925	2019	Human	NA
SRR10059374	2019	Human	cluster_61
SRR10059376	2019	Human	cluster_67
SRR10059395	2019	Human	cluster_67
SRR10059558	2019	Human	cluster_61
SRR10059569	2019	Human	cluster_69
SRR10060549	2019	Turkey	cluster_61
SRR10060645	2019	Human	cluster_69
SRR10061000	2019	Chicken	NA
SRR10061001	2019	Chicken	NA
SRR10061004	2019	Chicken	cluster_61
SRR10061077	2019	Human	singleton_112
SRR10061156	2019	Human	singleton_1
SRR10061178	2019	Human	cluster_61
SRR10061443	2019	Chicken	cluster_61
SRR10061445	2019	Chicken	cluster_68
SRR10061454	2019	Chicken	NA
SRR10062478	2019	Chicken	cluster_61
SRR10062486	2019	Chicken	NA
SRR10062488	2019	Chicken	cluster_61
SRR10063331	2019	Human	NA
SRR10066073	2019	Human	cluster_61
SRR10066303	2019	Human	cluster_69
SRR10067804	2019	Human	NA
SRR10067811	2019	Human	cluster_51
SRR10067892	2019	Chicken	cluster_67
SRR10067912	2019	Swine	NA
SRR10067913	2019	Swine	cluster_60
SRR10067917	2019	Swine	cluster_60
SRR10067918	2019	Swine	cluster_60
SRR10067921	2019	Swine	cluster_60
SRR10068204	2019	Human	cluster_61
SRR10068925	2019	Human	cluster_61
SRR10069008	2019	Human	cluster_67
SRR10069017	2019	Human	cluster_61
SRR10071632	2019	Chicken	cluster_61
SRR10072539	2019	Human	NA
SRR10072547	2019	Human	cluster_67
SRR10075997	2019	Chicken	cluster_61
SRR10076030	2019	Chicken	cluster_61
SRR10078854	2019	Human	NA
SRR10078931	2019	Chicken	cluster_61
SRR10078944	2019	Chicken	NA
SRR10079544	2019	Human	cluster_67
SRR10079560	2019	Human	cluster_67
SRR10079562	2019	Human	cluster_67
SRR10079564	2019	Human	NA
SRR10079567	2019	Human	cluster_67
SRR10082230	2019	Chicken	NA
SRR10082232	2019	Chicken	NA
SRR10082234	2019	Swine	cluster_69
SRR10082237	2019	Chicken	cluster_61
SRR10082242	2019	Chicken	NA
SRR10082279	2019	Chicken	NA
