ID	Year	Source	MST-20
SRR10003447	2019	Human	cluster_27
SRR10005562	2019	Turkey	cluster_27
SRR10037281	2018	Human	cluster_24
SRR10037351	2019	Human	singleton_86
SRR10067896	2019	Human	singleton_25
SRR10072439	2017	Human	cluster_13
SRR10158247	2019	Human	cluster_27
SRR10203285	2019	Human	cluster_25
SRR10212950	2019	Human	cluster_27
SRR10222565	2019	Chicken	cluster_29
SRR10236753	2019	Human	cluster_13
SRR10259174	2019	Human	cluster_32
SRR10269932	2019	Human	cluster_32
SRR10310220	2019	Human	cluster_10
SRR10325477	2019	Human	cluster_27
SRR10360425	2019	Human	cluster_13
SRR10413516	2019	Human	cluster_24
SRR10489880	Unknown	Unspecified Animal	cluster_10
SRR10491477	2019	Human	cluster_21
SRR10596644	2019	Human	singleton_56
SRR10618742	2019	Human	cluster_27
SRR10674852	2019	Turkey	cluster_27
SRR10689431	2019	Human	cluster_25
SRR10689808	2019	Chicken	cluster_20
SRR10691620	2019	Turkey	cluster_27
SRR10696295	2019	Human	cluster_2
SRR10696297	2019	Human	cluster_2
SRR10717597	2019	Human	cluster_18
SRR10718267	2019	Human	cluster_27
SRR10744648	2019	Human	cluster_27
SRR10763002	2019	Human	cluster_18
SRR10764310	2019	Turkey	cluster_27
SRR10768435	2019	Human	cluster_23
SRR10775284	2019	Turkey	cluster_29
SRR10804980	2019	Human	cluster_27
SRR10820436	2019	Human	cluster_29
SRR10821214	2019	Turkey	cluster_27
SRR10821231	2019	Turkey	cluster_22
SRR10822385	2019	Human	cluster_4
SRR10870902	Unknown	Unspecified Animal	cluster_27
SRR10871975	2019	Human	cluster_26
SRR10873279	2019	Turkey	cluster_27
SRR10880510	Unknown	Human	cluster_27
SRR10905425	2019	Turkey	cluster_29
SRR10918590	2019	Turkey	cluster_29
SRR10953159	2020	Human	cluster_26
SRR10971429	2019	Human	singleton_21
SRR10972539	2020	Turkey	cluster_29
SRR10973884	2019	Human	singleton_73
SRR10973889	2020	Human	singleton_71
SRR10980066	2020	Turkey	cluster_29
SRR10980096	2020	Human	cluster_32
SRR11005329	2020	Human	cluster_29
SRR11007809	2020	Human	cluster_27
SRR11011825	2020	Human	singleton_45
SRR11013643	2020	Human	singleton_32
SRR11015088	2020	Turkey	cluster_29
SRR11015299	2020	Chicken	cluster_29
SRR11015369	2020	Chicken	cluster_29
SRR11032619	2019	Human	cluster_32
SRR11032633	2019	Human	cluster_27
SRR11048523	2020	Chicken	cluster_29
SRR11058548	2020	Turkey	cluster_29
SRR11073171	2020	Human	cluster_29
SRR11074359	2019	Human	singleton_20
SRR11096730	2020	Human	cluster_27
SRR11098904	2020	Human	cluster_32
SRR11114735	2019	Human	cluster_27
SRR11119328	2020	Turkey	cluster_29
SRR11119338	2020	Turkey	cluster_29
SRR11165093	2020	Human	cluster_21
SRR11171944	2020	Human	singleton_87
SRR11193978	2020	Human	cluster_31
SRR11214810	2020	Turkey	cluster_29
SRR11247914	2020	Turkey	cluster_18
SRR11248366	2020	Turkey	cluster_27
SRR11273417	2020	Human	cluster_29
SRR11291540	2020	Swine	cluster_29
SRR11310264	2020	Human	singleton_83
SRR11311754	2020	Swine	cluster_29
SRR11314427	2020	Human	singleton_44
SRR11321828	2020	Human	singleton_51
SRR11348110	2020	Turkey	cluster_29
SRR11351501	2020	Human	singleton_84
SRR11394591	2019	Human	cluster_23
SRR11401961	2020	Human	singleton_18
SRR11434633	2020	Human	cluster_29
SRR11435268	2020	Chicken	cluster_29
SRR11451588	2020	Human	cluster_29
SRR11452587	2020	Chicken	cluster_31
SRR11472171	2020	Chicken	cluster_29
SRR11486364	2020	Human	cluster_29
SRR11486454	2020	Human	cluster_29
SRR11486772	2020	Human	cluster_29
SRR11491743	2020	Human	cluster_4
SRR11511031	2020	Chicken	cluster_29
SRR11534351	2020	Human	cluster_29
SRR11536475	2020	Human	cluster_29
SRR11544390	2020	Turkey	cluster_22
SRR11544618	2020	Human	singleton_70
SRR11544643	2020	Human	cluster_29
SRR11550298	2020	Human	cluster_29
SRR11550301	2020	Human	cluster_29
SRR11550307	2020	Human	cluster_29
SRR11550308	2020	Human	cluster_29
SRR11554264	2020	Human	cluster_29
SRR11554324	2020	Human	cluster_29
SRR11554988	2020	Human	cluster_29
SRR11574703	2020	Human	cluster_29
SRR11575323	2020	Human	cluster_29
SRR11575334	2020	Human	cluster_29
SRR11576211	2020	Human	cluster_29
SRR11580840	2020	Human	cluster_29
SRR11600360	2020	Chicken	cluster_5
SRR11600977	2020	Turkey	cluster_27
SRR11601192	2020	Human	cluster_29
SRR11604865	2020	Human	cluster_29
SRR11606879	2020	Human	cluster_29
SRR11606886	2020	Human	cluster_29
SRR11615050	2020	Human	cluster_29
SRR11615127	2020	Human	cluster_29
SRR11615128	2020	Human	cluster_29
SRR11615146	2020	Human	cluster_29
SRR11615152	2020	Human	cluster_29
SRR11615732	2020	Human	cluster_29
SRR11616192	2020	Human	cluster_29
SRR11616357	2020	Human	cluster_29
SRR11621489	2020	Human	cluster_29
SRR11625585	2020	Human	cluster_29
SRR11626768	2020	Human	cluster_29
SRR11635785	2020	Human	cluster_29
SRR11648102	2020	Human	cluster_29
SRR11648105	2020	Human	cluster_29
SRR11652893	2020	Human	cluster_29
SRR11653283	2020	Human	cluster_29
SRR11659724	2020	Human	cluster_29
SRR11662088	2020	Human	cluster_29
SRR11676496	2020	Human	cluster_29
SRR11676500	2020	Human	cluster_29
SRR11676551	2020	Human	cluster_29
SRR11676629	2020	Human	cluster_29
SRR11676634	2020	Human	cluster_29
SRR11676637	2020	Human	cluster_29
SRR11679716	2020	Human	cluster_29
SRR11680447	2020	Human	cluster_29
SRR11680472	2020	Human	cluster_29
SRR11680804	2020	Human	cluster_29
SRR11692205	2020	Human	cluster_29
SRR11712028	2020	Human	cluster_29
SRR11712030	Unknown	Unspecified Animal	cluster_29
SRR11712037	2020	Human	cluster_29
SRR11712045	2020	Human	cluster_29
SRR11712046	2020	Human	cluster_29
SRR11728689	2020	Human	cluster_29
SRR11728690	2020	Human	cluster_29
SRR11728766	Unknown	Unspecified Animal	cluster_29
SRR11729892	2020	Human	cluster_29
SRR11729894	2020	Human	cluster_29
SRR11734804	2020	Human	cluster_29
SRR11734805	2020	Human	cluster_29
SRR11734807	2020	Human	cluster_29
SRR11735790	2020	Human	cluster_29
SRR11735791	2020	Human	cluster_29
SRR11735792	2020	Human	cluster_29
SRR11741239	2020	Human	cluster_29
SRR11744058	2020	Human	cluster_29
SRR11744072	2020	Human	cluster_29
SRR11744073	2020	Human	cluster_29
SRR11744074	2020	Human	cluster_29
SRR11744096	2020	Human	cluster_29
SRR11744098	2020	Human	cluster_29
SRR11744105	2020	Human	cluster_29
SRR11749478	2020	Human	cluster_29
SRR11749484	2020	Human	cluster_29
SRR11749488	2020	Human	cluster_29
SRR11763287	2020	Human	cluster_29
SRR11763428	2020	Human	cluster_29
SRR11766929	2020	Human	cluster_29
SRR11768283	2020	Human	cluster_29
SRR11771924	Unknown	Unspecified Animal	cluster_29
SRR11771968	2020	Human	cluster_19
SRR11772087	2020	Human	cluster_29
SRR11772171	2020	Human	cluster_29
SRR11772690	2020	Human	cluster_29
SRR11772694	2020	Human	cluster_29
SRR11776609	2020	Human	cluster_29
SRR11776610	2020	Human	cluster_29
SRR11776612	2020	Human	cluster_29
SRR11776614	2020	Human	cluster_29
SRR11777648	2020	Human	cluster_29
SRR11778000	2020	Turkey	cluster_29
SRR11780774	2020	Human	cluster_29
SRR11780781	2020	Human	cluster_29
SRR11780785	2020	Human	cluster_29
SRR11780787	2020	Human	cluster_29
SRR11780788	2020	Human	cluster_29
SRR11780789	2020	Human	cluster_29
SRR11780792	2020	Human	cluster_29
SRR11780793	2020	Human	cluster_29
SRR11787208	Unknown	Unspecified Animal	cluster_29
SRR11787209	2020	Human	cluster_29
SRR11787211	2020	Human	cluster_29
SRR11787218	2020	Human	cluster_29
SRR11789054	2020	Human	cluster_29
SRR11791635	2020	Human	cluster_29
SRR11798268	2020	Human	cluster_29
SRR11798270	2020	Human	cluster_29
SRR11798764	2020	Human	cluster_29
SRR11798767	2020	Human	cluster_29
SRR11798771	2020	Human	cluster_29
SRR11798780	2020	Human	cluster_29
SRR11799555	2020	Human	cluster_29
SRR11802392	2020	Chicken	cluster_29
SRR11806836	2020	Human	cluster_29
SRR11807483	2020	Human	cluster_29
SRR11807486	2020	Human	cluster_29
SRR11807488	2020	Human	cluster_29
SRR11807511	2020	Human	cluster_29
SRR11807527	2020	Human	cluster_29
SRR11808503	2020	Human	cluster_29
