ID	Year	Source	MST-60
SRR10001078	2019	Human	cluster_93
SRR10001083	2019	Human	cluster_63
SRR10001137	2019	Human	cluster_35
SRR10003131	2019	Human	cluster_76
SRR10005229	2019	Swine	cluster_86
SRR10008292	2019	Bovine	cluster_30
SRR10008459	2019	Swine	cluster_86
SRR10009847	2019	Human	cluster_93
SRR10010192	Unknown	Unspecified Animal	cluster_93
SRR10010435	2019	Human	singleton_42
SRR10011647	2019	Human	cluster_93
SRR10012382	Unknown	Unspecified Animal	cluster_86
SRR10012556	Unknown	Unspecified Animal	cluster_93
SRR10013011	Unknown	Unspecified Animal	cluster_93
SRR10015797	2019	Human	cluster_93
SRR10015814	2019	Human	cluster_93
SRR10015930	Unknown	Human	cluster_93
SRR10015932	2019	Human	cluster_93
SRR10015937	2019	Human	cluster_88
SRR10017045	2019	Human	cluster_93
SRR10018501	2019	Human	cluster_71
SRR10018727	2019	Human	cluster_93
SRR10024048	2019	Human	cluster_93
SRR10027225	2019	Swine	cluster_86
SRR10029647	2019	Human	cluster_62
SRR10031284	2019	Human	cluster_30
SRR10032580	2019	Human	cluster_59
SRR10037866	2019	Human	cluster_93
SRR10037998	2019	Bovine	cluster_80
SRR10038002	2019	Swine	NA
SRR10043660	2019	Swine	cluster_86
SRR10050057	2019	Human	cluster_93
SRR10060609	2019	Swine	cluster_86
SRR10060640	2019	Human	cluster_55
SRR10061027	2019	Human	cluster_35
SRR10062455	2019	Swine	cluster_86
SRR10062773	2019	Swine	cluster_86
SRR10063096	2019	Human	cluster_93
SRR10063221	2019	Human	cluster_93
SRR10066292	2019	Human	cluster_63
SRR10066294	2019	Human	cluster_93
SRR10067897	2019	Swine	cluster_46
SRR10067907	2019	Swine	cluster_46
SRR10067914	2019	Swine	cluster_46
SRR10067951	2019	Human	cluster_93
SRR10071660	2019	Swine	cluster_86
SRR10072454	2019	Human	cluster_93
SRR10079566	2019	Human	cluster_93
SRR10079569	2019	Human	cluster_93
SRR10090192	2019	Human	cluster_93
SRR10095856	2019	Human	cluster_93
SRR10095992	2019	Human	cluster_62
SRR10096955	2019	Bovine	cluster_99
SRR10097232	2019	Human	cluster_93
SRR10113611	2019	Turkey	cluster_92
SRR10113615	2019	Turkey	cluster_93
SRR10115938	2019	Human	cluster_93
SRR10115985	2019	Human	cluster_93
SRR10117898	2019	Human	cluster_93
SRR10120209	2019	Human	cluster_93
SRR10123509	2019	Turkey	cluster_92
SRR10123521	2019	Swine	cluster_86
SRR10125253	2019	Human	cluster_93
SRR10129538	2019	Bovine	cluster_93
SRR10129691	2019	Human	cluster_48
SRR10130847	2019	Bovine	cluster_80
SRR10136163	2019	Human	cluster_93
SRR10140557	2019	Human	cluster_93
SRR10143405	2019	Human	cluster_93
SRR10152539	2019	Human	cluster_93
SRR10153210	2019	Human	cluster_93
SRR10155193	2019	Swine	cluster_86
SRR10156058	2019	Bovine	cluster_38
SRR10156104	2019	Bovine	cluster_30
SRR10156105	2019	Swine	cluster_86
SRR10156128	2019	Swine	cluster_93
SRR10156141	2019	Bovine	cluster_99
SRR10156810	2019	Human	cluster_93
SRR10164563	2019	Bovine	cluster_36
SRR10164590	2019	Bovine	cluster_99
SRR10164591	2019	Bovine	cluster_99
SRR10165159	2019	Swine	cluster_86
SRR10165161	2019	Bovine	cluster_80
SRR10165174	2019	Swine	cluster_86
SRR10165268	2019	Bovine	cluster_93
SRR10166437	2019	Swine	cluster_86
SRR10166451	2019	Bovine	cluster_99
SRR10172242	2019	Human	cluster_93
SRR10173422	2019	Human	cluster_93
SRR10186851	2019	Bovine	cluster_93
SRR10186929	2019	Bovine	cluster_99
SRR10190998	2019	Human	cluster_93
SRR10192947	2019	Swine	cluster_86
SRR10192948	2019	Bovine	cluster_92
SRR10198974	2019	Swine	cluster_86
SRR10198978	2019	Swine	cluster_86
SRR10198991	2019	Swine	cluster_86
SRR10198994	2019	Swine	cluster_86
SRR10203760	2019	Swine	cluster_86
SRR10207286	2019	Swine	cluster_86
SRR10207287	2019	Swine	cluster_86
SRR10207460	2019	Human	cluster_93
SRR10210128	2019	Swine	cluster_86
SRR10210583	2019	Human	cluster_93
SRR10211147	2019	Human	cluster_93
SRR10211165	2019	Human	singleton_66
SRR10211658	Unknown	Human	cluster_93
SRR10211801	2019	Human	cluster_93
SRR10212889	2019	Human	cluster_52
SRR10212961	2019	Human	cluster_35
SRR10222563	2019	Swine	cluster_86
SRR10222646	2019	Bovine	cluster_15
SRR10230191	2019	Human	cluster_62
SRR10231571	2019	Human	cluster_93
SRR10237529	2019	Swine	cluster_86
SRR10237634	2019	Swine	cluster_86
SRR10237893	2019	Human	cluster_93
SRR10239234	2019	Human	cluster_86
SRR10245477	2019	Human	cluster_93
SRR10247827	2019	Turkey	cluster_93
SRR10247832	2019	Bovine	cluster_93
SRR10250556	2019	Turkey	cluster_86
SRR10250683	2019	Human	singleton_38
SRR10254623	2019	Human	singleton_76
SRR10258307	2019	Human	cluster_32
SRR10258369	2019	Swine	cluster_86
SRR10258370	2019	Swine	cluster_86
SRR10258431	2019	Swine	cluster_86
SRR10258442	2019	Swine	cluster_86
SRR10259110	2019	Human	cluster_9
SRR10267779	2019	Human	cluster_93
SRR10271343	2019	Human	cluster_62
SRR10277296	2019	Bovine	cluster_99
SRR10277925	2019	Human	cluster_93
SRR10278391	2019	Human	cluster_88
SRR10286359	Unknown	Human	cluster_97
SRR10289892	2019	Human	cluster_86
SRR10290648	2019	Human	cluster_93
SRR10293970	2019	Human	cluster_12
SRR10294261	2019	Human	cluster_93
SRR10294283	2019	Human	cluster_93
SRR10295156	2019	Human	cluster_93
SRR10298417	Unknown	Human	cluster_93
SRR10303257	2019	Human	cluster_35
SRR10303269	2019	Human	cluster_35
SRR10303383	2019	Swine	cluster_86
SRR10307458	2019	Swine	cluster_25
SRR10307669	2019	Swine	cluster_86
SRR10310282	2019	Human	cluster_91
SRR10313565	Unknown	Human	cluster_93
SRR10323639	2019	Human	cluster_93
SRR10326006	2019	Human	cluster_40
SRR10326017	2019	Human	cluster_93
SRR10326022	2019	Human	cluster_93
SRR10326207	2019	Human	cluster_93
SRR10334735	2019	Human	cluster_93
SRR10337155	2019	Human	cluster_93
SRR10337185	2019	Human	cluster_93
SRR10337195	2019	Human	cluster_92
SRR10340274	2019	Human	cluster_93
SRR10340275	2019	Human	cluster_93
SRR10341538	2019	Human	cluster_93
SRR10341837	2019	Human	cluster_86
SRR10342324	2019	Human	cluster_30
SRR10342432	2019	Human	cluster_93
SRR10342459	2019	Human	cluster_93
SRR10343005	2019	Bovine	cluster_86
SRR10343236	2019	Bovine	cluster_86
SRR10348624	2019	Turkey	cluster_92
SRR10349478	2019	Bovine	cluster_38
SRR10350265	2019	Human	cluster_86
SRR10356990	2019	Bovine	cluster_38
SRR10360863	2019	Swine	cluster_93
SRR10363944	2019	Bovine	cluster_30
SRR10364872	2019	Human	cluster_92
SRR10368389	2019	Human	cluster_63
SRR10375740	2019	Chicken	cluster_92
SRR10377366	2019	Human	cluster_93
SRR10382572	2019	Human	cluster_93
SRR10392534	2019	Human	cluster_93
SRR10392538	2019	Human	cluster_93
SRR10400240	2019	Swine	cluster_86
SRR10403357	2019	Human	cluster_93
SRR10403396	2019	Human	cluster_93
SRR10418740	2019	Human	cluster_93
SRR10419419	2019	Human	cluster_93
SRR10419420	2019	Human	cluster_93
SRR10419506	2019	Human	cluster_93
SRR10429199	2019	Human	cluster_93
SRR10435697	2019	Human	cluster_93
SRR10435745	2019	Human	cluster_93
SRR10438686	2019	Human	cluster_93
SRR10444414	2019	Human	cluster_93
SRR10447382	2019	Bovine	cluster_99
SRR10448259	2019	Human	cluster_82
SRR10448569	2019	Human	cluster_93
SRR10448891	2019	Human	cluster_9
SRR10465618	2019	Bovine	cluster_30
SRR10484352	2019	Human	cluster_93
SRR10489379	2019	Human	cluster_93
SRR10489602	2019	Human	cluster_93
SRR10490530	2019	Human	cluster_93
SRR10491363	2019	Human	cluster_93
SRR10491473	2019	Human	cluster_93
SRR10493534	2019	Bovine	cluster_99
SRR10493536	2019	Bovine	cluster_99
SRR10493548	2019	Swine	cluster_86
SRR10493566	2019	Bovine	cluster_93
SRR10493570	2019	Swine	cluster_86
SRR10493600	2019	Bovine	cluster_38
SRR10500349	2019	Human	cluster_93
SRR10507230	2019	Human	cluster_92
SRR10513192	2019	Human	cluster_60
SRR10530282	2019	Bovine	cluster_80
SRR10533252	2019	Human	cluster_85
SRR10541218	2019	Human	cluster_93
SRR10546736	2019	Swine	cluster_86
SRR10546748	2019	Turkey	cluster_92
SRR10568953	2019	Human	cluster_93
SRR10574674	2019	Swine	cluster_86
SRR10574836	2019	Swine	cluster_86
SRR10574875	2019	Swine	cluster_86
SRR10574877	2019	Swine	cluster_86
SRR10574905	2019	Swine	cluster_86
SRR10577679	2019	Human	cluster_47
SRR10582226	2019	Swine	cluster_86
SRR10582728	2019	Bovine	cluster_80
SRR10582745	2019	Swine	cluster_86
SRR10582765	2019	Swine	cluster_86
SRR10584586	2019	Human	cluster_77
SRR10608987	2019	Human	cluster_93
SRR10612182	2019	Human	cluster_21
SRR10612261	2019	Bovine	cluster_100
SRR10615174	2019	Bovine	cluster_99
SRR10616362	2019	Human	cluster_93
SRR10617540	2019	Human	cluster_93
SRR10618736	2019	Human	cluster_93
SRR10619304	2019	Human	cluster_60
SRR10664056	2019	Human	singleton_50
SRR10664118	2019	Human	cluster_93
SRR10665699	2019	Human	cluster_93
SRR10669560	2019	Swine	cluster_86
SRR10669567	2019	Bovine	cluster_86
SRR10669579	2019	Swine	cluster_86
SRR10669615	2019	Swine	cluster_86
SRR10671629	2019	Human	cluster_60
SRR10688330	2019	Human	cluster_93
SRR10691612	2019	Swine	cluster_86
SRR10691615	2019	Swine	cluster_86
SRR10691682	2019	Swine	cluster_86
SRR10696314	2019	Human	cluster_66
SRR10696323	2019	Human	cluster_66
SRR10708493	2019	Swine	cluster_86
SRR10715835	2019	Human	cluster_93
SRR10717607	2019	Human	cluster_93
SRR10725956	2019	Human	cluster_31
SRR10734212	2019	Turkey	cluster_92
SRR10734261	2019	Swine	cluster_86
SRR10759110	2019	Human	cluster_70
SRR10759710	2019	Human	cluster_93
SRR10760404	2019	Human	cluster_30
SRR10763011	2019	Turkey	cluster_92
SRR10763298	2019	Human	cluster_93
SRR10763300	2019	Human	cluster_48
SRR10763614	2019	Human	cluster_93
SRR10763698	2019	Human	cluster_86
SRR10763703	2019	Human	cluster_93
SRR10768486	2019	Human	cluster_93
SRR10770660	2019	Human	cluster_93
SRR10771145	2019	Human	cluster_93
SRR10771146	2019	Human	cluster_93
SRR10771158	2019	Human	cluster_93
SRR10775381	2019	Bovine	cluster_92
SRR10775382	2019	Bovine	cluster_100
SRR10775386	2019	Swine	cluster_86
SRR10775457	2019	Bovine	cluster_80
SRR10775460	2019	Swine	cluster_86
SRR10805103	2019	Human	cluster_93
SRR10806599	2019	Bovine	cluster_99
SRR10806603	2019	Bovine	cluster_99
SRR10806604	2019	Bovine	cluster_99
SRR10806683	2019	Bovine	cluster_99
SRR10806694	2019	Bovine	cluster_99
SRR10810401	2019	Swine	cluster_86
SRR10810412	2019	Swine	cluster_93
SRR10815147	2019	Human	cluster_93
SRR10815568	2019	Chicken	cluster_93
SRR10815614	2019	Swine	cluster_86
SRR10821138	2019	Human	cluster_79
SRR10821206	2019	Swine	cluster_86
SRR10821213	2019	Swine	cluster_86
SRR10821232	2019	Swine	cluster_86
SRR10821233	2019	Turkey	cluster_92
SRR10841530	2019	Human	cluster_93
SRR10842936	2019	Swine	cluster_86
SRR10843666	2019	Human	cluster_9
SRR10852232	2019	Swine	cluster_86
SRR10853280	2019	Swine	cluster_86
SRR10853286	2019	Swine	cluster_86
SRR10853289	2019	Swine	cluster_86
SRR10857507	2019	Human	cluster_93
SRR10858647	2019	Human	cluster_86
SRR10868829	2019	Human	cluster_93
SRR10870389	2019	Human	cluster_47
SRR10873092	2019	Swine	cluster_86
SRR10873095	2019	Swine	cluster_86
SRR10873174	2019	Swine	cluster_86
SRR10873281	2019	Bovine	cluster_99
SRR10876078	2019	Human	cluster_93
SRR10878579	2019	Swine	cluster_86
SRR10878590	2019	Bovine	cluster_38
SRR10879420	2019	Human	cluster_75
SRR10879475	2019	Swine	cluster_86
SRR10879516	2019	Bovine	cluster_92
SRR10879517	2019	Swine	cluster_86
SRR10879532	2019	Swine	cluster_86
SRR10880516	2019	Human	cluster_51
SRR10894589	2019	Human	cluster_86
SRR10897523	2019	Human	cluster_93
SRR10897580	2019	Human	cluster_93
SRR10900534	2019	Human	cluster_91
SRR10901330	2019	Human	cluster_93
SRR10901341	2019	Swine	cluster_86
SRR10901348	2019	Bovine	cluster_93
SRR10905430	2019	Swine	cluster_86
SRR10909793	2019	Human	cluster_32
SRR10918642	2019	Swine	cluster_86
SRR10918789	2020	Swine	cluster_86
SRR10920710	2020	Swine	cluster_86
SRR10920714	2020	Swine	cluster_86
SRR10920910	2019	Swine	cluster_86
SRR10920933	2019	Bovine	cluster_93
SRR10937627	2019	Bovine	cluster_93
SRR10951109	2019	Human	cluster_93
SRR10951124	2019	Human	cluster_93
SRR10951165	2019	Human	cluster_93
SRR10953172	2020	Human	cluster_93
SRR10957016	2020	Swine	cluster_86
SRR10958264	2020	Swine	cluster_86
SRR10958266	2020	Swine	cluster_93
SRR10958271	2020	Swine	cluster_86
SRR10958350	2019	Human	cluster_93
SRR10959846	2020	Bovine	cluster_80
SRR10959855	2020	Swine	cluster_86
SRR10960468	2019	Human	cluster_93
SRR10965862	2020	Swine	cluster_86
SRR10967495	2020	Swine	cluster_86
SRR10968307	2020	Swine	cluster_86
SRR10968314	2020	Swine	cluster_86
SRR10972451	2020	Bovine	cluster_86
SRR10972455	2020	Swine	cluster_86
SRR10972460	2020	Swine	cluster_86
SRR10973887	2020	Human	cluster_81
SRR10987421	2019	Bovine	cluster_93
SRR10988772	2020	Swine	cluster_86
SRR10990385	2020	Human	cluster_93
SRR10992294	2020	Human	cluster_93
SRR10992538	2020	Human	cluster_30
SRR10996869	2020	Human	cluster_93
SRR11006143	2020	Human	cluster_93
SRR11008708	2020	Swine	cluster_86
SRR11008714	2020	Bovine	cluster_99
SRR11008719	2020	Bovine	cluster_80
SRR11008932	2020	Swine	cluster_86
SRR11008934	2020	Swine	cluster_86
SRR11008944	2020	Swine	cluster_93
SRR11013584	2020	Human	cluster_93
SRR11015216	2020	Swine	cluster_86
SRR11015291	2020	Swine	cluster_86
SRR11015362	2020	Swine	cluster_86
SRR11015380	2020	Bovine	cluster_92
SRR11015390	2020	Bovine	cluster_92
SRR11015455	2020	Bovine	cluster_92
SRR11015472	2020	Bovine	cluster_92
SRR11015502	2020	Bovine	cluster_92
SRR11029032	2020	Human	cluster_93
SRR11029325	2020	Human	cluster_93
SRR11032771	2019	Human	cluster_93
SRR11032806	2019	Swine	cluster_46
SRR11035014	2020	Swine	cluster_86
SRR11035854	2020	Human	cluster_47
SRR11039182	2020	Swine	cluster_93
SRR11039230	2020	Human	cluster_93
SRR11043002	2019	Human	cluster_93
SRR11058198	2020	Bovine	cluster_93
SRR11058953	2020	Human	cluster_93
SRR11058955	2020	Human	cluster_92
SRR11059424	2020	Swine	cluster_86
SRR11059425	2020	Swine	cluster_86
SRR11059426	2020	Swine	cluster_86
SRR11059447	2020	Bovine	cluster_99
SRR11068262	2020	Human	cluster_93
SRR11071714	2020	Human	cluster_93
SRR11071722	2020	Human	cluster_93
SRR11079897	2020	Human	cluster_30
SRR11085332	2020	Bovine	cluster_93
SRR11087851	2020	Human	cluster_93
SRR11088904	2020	Human	cluster_61
SRR11088950	2020	Human	cluster_93
SRR11090544	2020	Human	cluster_53
SRR11098866	2020	Human	cluster_77
SRR11098874	2020	Human	cluster_93
SRR11102092	2020	Swine	cluster_86
SRR11102106	2020	Swine	cluster_86
SRR11142466	2020	Swine	cluster_86
SRR11167988	Unknown	Human	cluster_93
SRR11173993	2020	Human	cluster_93
SRR11178191	2020	Human	cluster_93
SRR11179430	2020	Human	cluster_86
SRR11185153	2019	Swine	cluster_93
SRR11185155	2019	Other Animal	cluster_99
SRR11185185	2019	Other Animal	cluster_3
SRR11186616	2020	Human	cluster_93
SRR11186727	2020	Swine	cluster_86
SRR11193976	2020	Human	cluster_93
SRR11195740	2020	Human	cluster_86
SRR11196695	2019	Other Animal	cluster_3
SRR11196713	2019	Other Animal	cluster_93
SRR11196715	2019	Sheep/Goat	cluster_93
SRR11201435	2020	Human	cluster_93
SRR11201718	2020	Human	cluster_52
SRR11214333	2020	Swine	cluster_86
SRR11214348	2020	Swine	cluster_86
SRR11215665	2020	Human	cluster_93
SRR11215713	2020	Swine	cluster_86
SRR11216327	2020	Human	cluster_35
SRR11221305	2020	Human	cluster_91
SRR11232011	2020	Bovine	cluster_17
SRR11232334	2020	Bovine	cluster_92
SRR11245228	2020	Human	cluster_93
SRR11245290	2020	Human	cluster_93
SRR11245291	2020	Human	cluster_93
SRR11245294	2020	Human	cluster_32
SRR11247617	2019	Swine	cluster_86
SRR11247908	2020	Swine	cluster_86
SRR11247909	2020	Swine	cluster_86
SRR11248333	2020	Swine	cluster_86
SRR11252431	2020	Bovine	cluster_80
SRR11252517	2020	Swine	cluster_86
SRR11252557	2020	Bovine	cluster_99
SRR11278038	2020	Swine	cluster_86
SRR11278187	2020	Human	cluster_30
SRR11281356	2019	Human	cluster_91
SRR11283162	2020	Swine	cluster_86
SRR11283318	2020	Swine	cluster_86
SRR11284105	2020	Human	cluster_93
SRR11290911	2020	Human	cluster_9
SRR11292584	2020	Swine	cluster_86
SRR11292602	2020	Chicken	cluster_38
SRR11292607	2020	Turkey	cluster_93
SRR11297594	2019	Human	cluster_53
SRR11311379	2020	Swine	cluster_86
SRR11311779	2020	Swine	cluster_25
SRR11317762	2020	Bovine	cluster_99
SRR11317774	2020	Swine	cluster_86
SRR11347092	2020	Bovine	cluster_92
SRR11347098	2020	Bovine	cluster_92
SRR11348111	2020	Swine	cluster_86
SRR11348112	2020	Bovine	cluster_93
SRR11348519	2020	Swine	cluster_86
SRR11348527	2020	Swine	cluster_86
SRR11357087	2020	Human	cluster_93
SRR11357340	2020	Swine	cluster_86
SRR11361929	2019	Human	cluster_9
SRR11362777	2020	Turkey	cluster_92
SRR11394713	2020	Swine	cluster_86
