ID	Year	Source	MST-14	MST-93	MST-108	MST-151	MST-326	MST-1747	MST-2069
SRR10001325	2019	Human	singleton_155	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10003558	2019	Human	cluster_1	cluster_9	cluster_6	cluster_6	cluster_5	cluster_3	cluster_2
SRR10005230	2019	Bovine	cluster_33	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10011496	2019	Human	cluster_3	cluster_9	cluster_6	cluster_6	cluster_5	cluster_3	cluster_2
SRR10031151	2019	Human	singleton_18	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10059377	2019	Human	cluster_33	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10082280	2019	Bovine	singleton_859	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10082281	2019	Bovine	singleton_732	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10094668	2019	Bovine	cluster_34	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10094678	2019	Bovine	cluster_34	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10100584	2019	Bovine	cluster_95	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10156088	2019	Bovine	singleton_881	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10156133	2019	Swine	cluster_6	cluster_9	cluster_6	cluster_6	cluster_5	cluster_3	cluster_2
SRR10156135	2019	Bovine	singleton_460	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10164562	2019	Bovine	singleton_906	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10164712	2019	Bovine	singleton_548	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10164742	2019	Bovine	singleton_275	cluster_4	cluster_1	cluster_2	cluster_2	cluster_1	cluster_1
SRR10165194	2019	Bovine	singleton_534	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10165269	2019	Swine	singleton_6	cluster_9	cluster_6	cluster_6	cluster_5	cluster_3	cluster_2
SRR10165270	2019	Bovine	singleton_49	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10165294	2019	Bovine	singleton_635	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10165299	2019	Bovine	singleton_712	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10176070	2019	Human	cluster_1	cluster_9	cluster_6	cluster_6	cluster_5	cluster_3	cluster_2
SRR10186949	2019	Bovine	singleton_440	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10187037	2019	Bovine	singleton_560	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10187048	2019	Bovine	singleton_804	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
SRR10189663	2019	Human	singleton_147	cluster_10	cluster_7	cluster_7	cluster_6	cluster_4	cluster_2
