ID	Year	Source	MST-14	MST-57	MST-65	MST-76	MST-83
SRR10012194	2019	Human	singleton_60	cluster_5	cluster_3	cluster_2	cluster_1
SRR10049446	2019	Human	cluster_3	cluster_5	cluster_3	cluster_2	cluster_1
SRR10078188	2019	Human	cluster_3	cluster_5	cluster_3	cluster_2	cluster_1
SRR10095837	2019	Human	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR10136214	2019	Human	singleton_134	cluster_5	cluster_3	cluster_2	cluster_1
SRR10154426	2019	Human	singleton_130	cluster_5	cluster_3	cluster_2	cluster_1
SRR10155186	2019	Swine	singleton_148	cluster_5	cluster_3	cluster_2	cluster_1
SRR10164746	2019	Swine	cluster_44	cluster_5	cluster_3	cluster_2	cluster_1
SRR10165164	2019	Swine	cluster_68	cluster_5	cluster_3	cluster_2	cluster_1
SRR10187038	2019	Swine	singleton_66	cluster_5	cluster_3	cluster_2	cluster_1
SRR10281885	2019	Human	cluster_69	cluster_5	cluster_3	cluster_2	cluster_1
SRR10309900	2019	Human	cluster_3	cluster_5	cluster_3	cluster_2	cluster_1
SRR10429180	2019	Human	singleton_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR10482232	2019	Human	singleton_143	cluster_5	cluster_3	cluster_2	cluster_1
SRR10505904	2019	Human	singleton_41	cluster_5	cluster_3	cluster_2	cluster_1
SRR10546641	2019	Swine	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR10611981	2019	Swine	cluster_22	cluster_5	cluster_3	cluster_2	cluster_1
SRR10612318	2019	Swine	singleton_190	cluster_5	cluster_3	cluster_2	cluster_1
SRR10614287	2019	Swine	cluster_16	cluster_5	cluster_3	cluster_2	cluster_1
SRR10673623	2019	Swine	singleton_159	cluster_5	cluster_3	cluster_2	cluster_1
SRR10708462	2019	Swine	cluster_24	cluster_5	cluster_3	cluster_2	cluster_1
SRR10725809	2019	Swine	singleton_10	cluster_5	cluster_3	cluster_2	cluster_1
SRR10764376	2019	Human	singleton_73	cluster_5	cluster_3	cluster_2	cluster_1
SRR10810393	2019	Swine	singleton_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR10815122	2019	Human	singleton_53	cluster_5	cluster_3	cluster_2	cluster_1
SRR10815613	2019	Swine	cluster_17	cluster_5	cluster_3	cluster_2	cluster_1
SRR10815627	2019	Swine	cluster_30	cluster_5	cluster_3	cluster_2	cluster_1
SRR10816342	2019	Human	cluster_73	cluster_5	cluster_3	cluster_2	cluster_1
SRR10853315	2019	Swine	singleton_142	cluster_5	cluster_3	cluster_2	cluster_1
SRR10857074	2019	Human	cluster_18	cluster_5	cluster_3	cluster_2	cluster_1
SRR10873097	2019	Swine	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR10881593	2019	Human	cluster_21	cluster_5	cluster_3	cluster_2	cluster_1
SRR10898363	2019	Human	cluster_7	cluster_5	cluster_3	cluster_2	cluster_1
SRR10905435	2019	Swine	singleton_180	cluster_5	cluster_3	cluster_2	cluster_1
SRR10905438	2019	Swine	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR10970404	2019	Human	singleton_25	cluster_5	cluster_3	cluster_2	cluster_1
SRR10981305	2020	Human	singleton_171	cluster_5	cluster_3	cluster_2	cluster_1
SRR10981481	2020	Human	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR11008923	2020	Swine	cluster_24	cluster_5	cluster_3	cluster_2	cluster_1
SRR11015496	2020	Swine	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR11058600	2020	Bovine	singleton_5	cluster_2	cluster_1	cluster_2	cluster_1
SRR11089980	2020	Human	singleton_1	cluster_5	cluster_3	cluster_2	cluster_1
SRR11214803	2020	Swine	cluster_18	cluster_5	cluster_3	cluster_2	cluster_1
SRR11232198	2020	Human	singleton_42	singleton_1	singleton_1	cluster_2	cluster_1
SRR11305785	2020	Human	singleton_126	cluster_5	cluster_3	cluster_2	cluster_1
SRR11313799	2020	Human	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR11394673	2020	Chicken	singleton_17	cluster_5	cluster_3	cluster_2	cluster_1
SRR11435272	2020	Swine	cluster_23	cluster_5	cluster_3	cluster_2	cluster_1
SRR11453031	2020	Swine	singleton_22	cluster_5	cluster_3	cluster_2	cluster_1
SRR11486713	2020	Chicken	singleton_175	cluster_5	cluster_3	cluster_2	cluster_1
SRR11487964	2020	Human	cluster_7	cluster_5	cluster_3	cluster_2	cluster_1
SRR11557922	2020	Turkey	cluster_66	cluster_5	cluster_3	cluster_2	cluster_1
SRR11576149	2015	Human	singleton_158	cluster_5	cluster_3	cluster_2	cluster_1
SRR11654228	2020	Swine	singleton_164	cluster_5	cluster_3	cluster_2	cluster_1
SRR11714373	2020	Swine	cluster_28	cluster_5	cluster_3	cluster_2	cluster_1
SRR11744066	2020	Human	singleton_82	cluster_5	cluster_3	cluster_2	cluster_1
SRR11799634	2020	Swine	cluster_23	cluster_5	cluster_3	cluster_2	cluster_1
SRR11802391	2020	Swine	singleton_178	cluster_5	cluster_3	cluster_2	cluster_1
SRR11802399	2020	Swine	cluster_23	cluster_5	cluster_3	cluster_2	cluster_1
SRR11833209	2020	Swine	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1
SRR11892875	2020	Swine	singleton_139	cluster_5	cluster_3	cluster_2	cluster_1
SRR11950166	2020	Swine	singleton_129	cluster_5	cluster_3	cluster_2	cluster_1
SRR11966543	2020	Swine	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12004628	2020	Swine	cluster_52	cluster_5	cluster_3	cluster_2	cluster_1
SRR12118785	2020	Human	cluster_28	cluster_5	cluster_3	cluster_2	cluster_1
SRR12136525	2020	Bovine	cluster_37	cluster_5	cluster_3	cluster_2	cluster_1
SRR12215568	2020	Swine	singleton_83	cluster_5	cluster_3	cluster_2	cluster_1
SRR12261688	2020	Human	singleton_97	cluster_5	cluster_3	cluster_2	cluster_1
SRR12336727	2020	Human	cluster_37	cluster_5	cluster_3	cluster_2	cluster_1
SRR12343733	2020	Human	cluster_51	cluster_5	cluster_3	cluster_2	cluster_1
SRR12362586	2020	Swine	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12377487	2020	Swine	singleton_54	cluster_5	cluster_3	cluster_2	cluster_1
SRR12403558	2020	Swine	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1
SRR12455729	2020	Swine	cluster_73	cluster_5	cluster_3	cluster_2	cluster_1
SRR12487631	2020	Swine	cluster_68	cluster_5	cluster_3	cluster_2	cluster_1
SRR12582641	2020	Swine	cluster_24	cluster_5	cluster_3	cluster_2	cluster_1
SRR12583031	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12594923	2020	Swine	cluster_49	cluster_5	cluster_3	cluster_2	cluster_1
SRR12625469	2020	Swine	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR12625484	2020	Swine	singleton_69	cluster_5	cluster_3	cluster_2	cluster_1
SRR12634159	2020	Human	singleton_121	cluster_5	cluster_3	cluster_2	cluster_1
SRR12664238	2020	Human	cluster_73	cluster_5	cluster_3	cluster_2	cluster_1
SRR12683259	2020	Swine	singleton_137	cluster_5	cluster_3	cluster_2	cluster_1
SRR12749486	2020	Swine	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12766664	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12768101	2020	Swine	singleton_179	cluster_5	cluster_3	cluster_2	cluster_1
SRR12806951	2020	Swine	singleton_86	cluster_5	cluster_3	cluster_2	cluster_1
SRR12852925	2020	Human	cluster_52	cluster_5	cluster_3	cluster_2	cluster_1
SRR12887493	2020	Swine	cluster_68	cluster_5	cluster_3	cluster_2	cluster_1
SRR12908397	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12908406	2020	Human	singleton_33	cluster_5	cluster_3	cluster_2	cluster_1
SRR12931077	2020	Human	cluster_40	cluster_5	cluster_3	cluster_2	cluster_1
SRR12937822	2020	Swine	cluster_18	cluster_5	cluster_3	cluster_2	cluster_1
SRR12956958	2020	Swine	cluster_23	cluster_5	cluster_3	cluster_2	cluster_1
SRR13066108	2020	Human	cluster_69	cluster_5	cluster_3	cluster_2	cluster_1
SRR13072618	2020	Human	cluster_71	cluster_5	cluster_3	cluster_2	cluster_1
