ID	Year	Source	MST-56
SRR10000373	2019	Human	cluster_294
SRR10000753	2019	Human	cluster_282
SRR10001040	2019	Human	cluster_282
SRR10001190	2019	Human	cluster_54
SRR10001198	2019	Human	cluster_259
SRR10003584	2019	Human	cluster_43
SRR10003684	Unknown	Unspecified Animal	cluster_282
SRR10006709	2019	Human	cluster_262
SRR10008291	2019	Bovine	cluster_294
SRR10008466	2019	Bovine	singleton_644
SRR10008472	2019	Chicken	cluster_293
SRR10009643	2019	Human	cluster_284
SRR10009911	2019	Human	cluster_262
SRR10010788	2019	Human	cluster_282
SRR10010874	2019	Human	cluster_282
SRR10010932	2019	Human	cluster_294
SRR10010943	2019	Human	cluster_282
SRR10010945	2019	Human	cluster_282
SRR10012362	2019	Human	cluster_284
SRR10012555	Unknown	Unspecified Animal	cluster_291
SRR10012560	Unknown	Unspecified Animal	cluster_281
SRR10013009	Unknown	Unspecified Animal	cluster_206
SRR10013133	2019	Human	singleton_62
SRR10013591	2019	Human	cluster_282
SRR10013623	Unknown	Unspecified Animal	cluster_233
SRR10014022	2019	Human	cluster_262
SRR10014023	2019	Human	cluster_282
SRR10015719	Unknown	Unspecified Animal	cluster_154
SRR10015786	2019	Human	cluster_293
SRR10015909	2019	Human	cluster_93
SRR10018713	2019	Human	cluster_294
SRR10018728	2019	Human	cluster_215
SRR10018798	2019	Human	cluster_282
SRR10019300	2019	Human	cluster_294
SRR10022805	2019	Bovine	cluster_294
SRR10024033	Unknown	Human	cluster_82
SRR10024218	2019	Human	cluster_163
SRR10024564	2019	Human	cluster_293
SRR10026169	2019	Human	cluster_217
SRR10026564	2019	Human	cluster_282
SRR10029631	2019	Human	cluster_284
SRR10029651	2019	Human	cluster_284
SRR10030047	2019	Human	cluster_282
SRR10030196	2019	Human	cluster_293
SRR10031135	2019	Human	cluster_282
SRR10031146	2019	Human	cluster_282
SRR10032655	2019	Bovine	cluster_294
SRR10034000	2019	Human	cluster_284
SRR10035025	2019	Human	cluster_262
SRR10035368	2019	Human	cluster_221
SRR10035401	2019	Human	cluster_284
SRR10035890	2019	Human	cluster_284
SRR10036398	2019	Human	cluster_209
SRR10036706	Unknown	Human	cluster_301
SRR10036716	Unknown	Human	cluster_66
SRR10036831	2019	Human	cluster_164
SRR10036957	2019	Human	cluster_262
SRR10037190	2019	Human	singleton_774
SRR10038938	2019	Human	cluster_198
SRR10038961	Unknown	Unspecified Animal	cluster_305
SRR10042365	2019	Turkey	cluster_287
SRR10045184	2019	Bovine	cluster_294
SRR10049394	2019	Human	cluster_43
SRR10049875	2019	Human	cluster_284
SRR10060626	2019	Human	cluster_282
SRR10060659	2019	Human	cluster_282
SRR10060921	2019	Bovine	cluster_294
SRR10062473	2019	Other Animal	cluster_178
SRR10065861	2019	Human	cluster_294
SRR10066064	2019	Human	cluster_294
SRR10066069	2019	Human	cluster_30
SRR10067807	2019	Human	cluster_294
SRR10067959	2019	Human	cluster_259
SRR10069024	2019	Human	cluster_195
SRR10075119	2019	Human	cluster_30
SRR10075121	2019	Human	cluster_284
SRR10075134	2019	Human	cluster_262
SRR10080195	2019	Human	singleton_600
SRR10080201	2019	Human	cluster_284
SRR10082186	2019	Human	cluster_165
SRR10082250	2019	Bovine	cluster_284
SRR10082251	2019	Bovine	cluster_284
SRR10082283	2019	Bovine	cluster_68
SRR10087050	2019	Human	cluster_294
SRR10087909	2019	Human	cluster_71
