ID	Year	Source	MST-14	MST-43	MST-50	MST-83	MST-93	MST-189
RS3100	2019	Turkey	cluster_4	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
RS3108	2020	Turkey	cluster_79	cluster_7	cluster_7	cluster_3	cluster_2	cluster_1
RS3197	2018	Turkey	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10003128	2019	Human	cluster_85	cluster_9	cluster_7	cluster_3	cluster_2	cluster_1
SRR10005859	2019	Human	cluster_85	cluster_9	cluster_7	cluster_3	cluster_2	cluster_1
SRR10008293	2019	Turkey	cluster_55	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10011506	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10015817	2019	Human	cluster_84	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10024673	2019	Human	singleton_92	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10026436	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10028515	2019	Swine	cluster_84	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10030643	2019	Human	cluster_65	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10035897	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10036396	2019	Human	cluster_28	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10045331	2019	Turkey	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10059562	2019	Human	cluster_13	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10061446	2019	Swine	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10067812	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10078287	2019	Human	cluster_63	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10088684	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10088690	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10096954	2019	Turkey	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10100157	2019	Human	cluster_63	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10123364	2019	Human	singleton_183	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10126657	2019	Swine	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10129681	2019	Human	cluster_63	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10131294	2019	Human	singleton_151	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10131556	2019	Bovine	cluster_2	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10133182	2019	Human	cluster_63	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10154337	2017	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10155173	2019	Turkey	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10156103	2019	Swine	cluster_74	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10156111	2019	Swine	singleton_223	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10162650	2019	Turkey	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10164558	2019	Swine	cluster_74	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10165171	2019	Turkey	cluster_57	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10166182	2019	Bovine	cluster_69	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10166183	2019	Swine	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10166444	2019	Swine	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10187039	2019	Turkey	singleton_128	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10189389	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10189774	2019	Human	cluster_84	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10192950	2019	Bovine	singleton_219	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10197217	2019	Turkey	cluster_55	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10205853	2019	Human	singleton_46	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10211146	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10218515	2019	Bovine	cluster_76	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10218560	2019	Bovine	cluster_76	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10218571	2019	Bovine	cluster_76	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10225071	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10226952	2019	Other	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10229994	2019	Bovine	cluster_79	cluster_7	cluster_7	cluster_3	cluster_2	cluster_1
SRR10230004	2019	Turkey	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10231936	2019	Human	cluster_85	cluster_9	cluster_7	cluster_3	cluster_2	cluster_1
SRR10233380	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10244965	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10247828	2019	Bovine	singleton_93	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10250557	2019	Swine	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10257876	2019	Human	cluster_24	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
SRR10258319	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10258367	2019	Swine	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10258428	2019	Bovine	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10258539	2019	Human	singleton_268	cluster_9	cluster_7	cluster_3	cluster_2	cluster_1
SRR10258853	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10267349	2019	Human	singleton_271	cluster_9	cluster_7	cluster_3	cluster_2	cluster_1
SRR10276204	2019	Human	cluster_69	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10276336	2019	Human	cluster_83	cluster_8	cluster_6	cluster_3	cluster_2	cluster_1
SRR10276341	2019	Human	cluster_84	cluster_10	cluster_7	cluster_3	cluster_2	cluster_1
