ID	Year	Source	MST-14	MST-45	MST-58	MST-71	MST-88	MST-106	MST-122	MST-375	MST-405	MST-518	MST-562	MST-592	MST-623
RS3211	2022	Turkey	singleton_102	singleton_28	singleton_23	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10003447	2019	Human	cluster_46	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10005562	2019	Turkey	cluster_46	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10037281	2018	Human	cluster_47	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10037351	2019	Human	singleton_10	singleton_4	singleton_4	singleton_4	singleton_4	singleton_4	cluster_2	cluster_2	cluster_2	cluster_2	cluster_2	cluster_2	cluster_2
SRR10067896	2019	Human	singleton_160	cluster_10	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10072439	2017	Human	cluster_23	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10158247	2019	Human	cluster_46	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10203285	2019	Human	cluster_15	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10212950	2019	Human	cluster_46	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10222565	2019	Chicken	cluster_26	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10236753	2019	Human	cluster_23	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10259174	2019	Human	singleton_159	cluster_10	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10269932	2019	Human	cluster_39	cluster_10	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10310220	2019	Human	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1
SRR10325477	2019	Human	cluster_46	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10360425	2019	Human	cluster_23	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10413516	2019	Human	cluster_47	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10489880	Unknown	Unspecified Animal	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1
SRR10491477	2019	Human	cluster_22	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10596644	2019	Human	singleton_55	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10618742	2019	Human	cluster_46	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10674852	2019	Turkey	singleton_171	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
SRR10689431	2019	Human	singleton_61	cluster_11	cluster_6	cluster_4	cluster_6	cluster_7	cluster_7	cluster_4	cluster_4	cluster_3	cluster_2	cluster_2	cluster_2
