ID	Year	Source	MST-14	MST-100	MST-112	MST-126	MST-140	MST-195
RS3095	2019	Turkey	singleton_654	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
RS3105	2020	Turkey	singleton_155	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
RS3114	2021	Turkey	singleton_51	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
RS3191	2017	Turkey	singleton_502	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10003635	2019	Human	cluster_100	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10005232	2019	Bovine	cluster_85	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10008465	2019	Bovine	cluster_85	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10010956	2019	Human	cluster_73	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10012235	Unknown	Unspecified Animal	singleton_353	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10015908	2019	Human	singleton_305	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10031116	2019	Human	singleton_706	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10035297	2019	Human	singleton_206	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10036104	2019	Human	singleton_674	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10037185	2019	Bovine	cluster_54	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10038005	2019	Chicken	singleton_16	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10059362	2019	Human	cluster_134	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10095890	2019	Human	cluster_56	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10129540	2019	Bovine	singleton_375	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10136185	2019	Human	singleton_435	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10152519	2019	Human	singleton_619	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10156091	2019	Bovine	singleton_311	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10156098	2019	Bovine	cluster_57	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10164099	2019	Bovine	singleton_114	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10172204	2019	Human	singleton_690	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10179667	2019	Human	cluster_134	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10187034	2019	Bovine	singleton_247	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10187036	2019	Bovine	singleton_682	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10190406	2019	Human	cluster_157	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10190629	2019	Human	cluster_16	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10210132	2019	Bovine	cluster_123	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10226370	2019	Human	cluster_71	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10229990	2019	Bovine	cluster_123	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10230008	2019	Chicken	singleton_297	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10231946	2019	Human	cluster_71	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10244380	2019	Human	cluster_93	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10244780	Unknown	Human	singleton_264	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10250662	2019	Human	cluster_76	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10257915	2017	Human	singleton_55	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10274241	2019	Human	singleton_152	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10276327	2019	Human	cluster_89	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10290655	2019	Human	cluster_71	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10302348	2019	Human	singleton_54	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10334743	2019	Human	singleton_339	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10340270	2019	Human	singleton_434	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10341108	2019	Bovine	cluster_57	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10343237	2019	Bovine	singleton_250	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10364871	2019	Human	singleton_193	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10366067	2019	Human	singleton_488	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10375930	2019	Human	singleton_171	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
SRR10377311	2019	Human	singleton_147	cluster_2	cluster_2	cluster_2	cluster_2	cluster_1
