ID	Year	Source	MST-36
SRR10000946	2019	Human	cluster_77
SRR10001126	2019	Human	cluster_77
SRR10003120	2019	Human	cluster_63
SRR10003475	2019	Human	cluster_77
SRR10003549	2019	Human	cluster_10
SRR10003560	2019	Human	cluster_77
SRR10003580	2019	Human	cluster_77
SRR10003587	2019	Human	cluster_77
SRR10003647	Unknown	Unspecified Animal	cluster_77
SRR10006155	2019	Human	cluster_77
SRR10006697	2019	Human	cluster_77
SRR10008476	2019	Other Animal	cluster_77
SRR10009650	2019	Human	cluster_77
SRR10009651	2019	Human	cluster_77
SRR10010944	2019	Human	cluster_77
SRR10010949	2019	Human	cluster_77
SRR10010961	2019	Human	cluster_74
SRR10010962	2019	Human	cluster_77
SRR10010969	2019	Human	cluster_10
SRR10011083	2019	Unspecified Animal	cluster_77
SRR10011501	2019	Human	cluster_77
SRR10012197	2019	Human	cluster_19
SRR10012212	Unknown	Unspecified Animal	cluster_77
SRR10012379	Unknown	Unspecified Animal	cluster_77
SRR10012558	Unknown	Unspecified Animal	cluster_77
SRR10012591	Unknown	Unspecified Animal	cluster_77
SRR10013167	2019	Human	cluster_83
SRR10013592	2019	Human	cluster_77
SRR10015880	Unknown	Unspecified Animal	cluster_74
SRR10018307	2019	Human	cluster_77
SRR10022454	2019	Human	cluster_77
SRR10024915	2019	Human	cluster_77
SRR10024932	2019	Human	cluster_77
SRR10026446	2019	Human	cluster_77
SRR10026535	2019	Human	cluster_77
SRR10026561	2019	Human	cluster_77
SRR10026566	2019	Human	cluster_75
SRR10028583	2019	Human	cluster_77
SRR10029646	Unknown	Unspecified Animal	cluster_77
SRR10031143	2019	Human	cluster_75
SRR10031153	Unknown	Human	cluster_77
SRR10031313	2019	Human	cluster_83
SRR10031631	2019	Human	cluster_74
SRR10035397	2019	Human	singleton_92
SRR10036101	2019	Human	cluster_77
SRR10036382	2019	Human	cluster_77
SRR10036403	2019	Human	cluster_74
SRR10036914	2019	Human	singleton_103
SRR10037354	2019	Human	cluster_77
SRR10037854	2019	Human	cluster_77
SRR10037879	2019	Human	cluster_77
SRR10037904	2019	Human	cluster_77
SRR10038930	2019	Human	cluster_77
SRR10050058	2019	Human	cluster_71
SRR10059556	2019	Human	cluster_77
SRR10061039	Unknown	Unspecified Animal	cluster_77
SRR10061175	2019	Human	cluster_77
SRR10061441	2019	Human	cluster_77
SRR10062474	2019	Turkey	cluster_77
SRR10063211	2019	Human	cluster_77
SRR10063671	2019	Human	cluster_77
SRR10065884	2019	Human	cluster_77
SRR10066063	2019	Human	cluster_77
SRR10066068	2019	Human	cluster_77
