ID	Year	Source	MST-53
SRR10005237	2019	Chicken	cluster_91
SRR10005543	2019	Chicken	cluster_86
SRR10007589	2019	Chicken	cluster_86
SRR10007625	2019	Chicken	cluster_86
SRR10008461	2019	Chicken	cluster_91
SRR10008473	2019	Chicken	cluster_91
SRR10008478	2019	Chicken	cluster_86
SRR10008481	2019	Chicken	cluster_82
SRR10013297	2019	Chicken	cluster_86
SRR10013406	2019	Chicken	cluster_86
SRR10013428	2019	Chicken	cluster_86
SRR10014235	2019	Human	cluster_57
SRR10024654	2019	Human	cluster_57
SRR10024927	2019	Chicken	cluster_82
SRR10024933	2019	Chicken	cluster_86
SRR10024939	2019	Chicken	cluster_86
SRR10024943	2019	Chicken	cluster_20
SRR10024975	2019	Chicken	cluster_86
SRR10027026	2019	Chicken	cluster_82
SRR10027151	2019	Chicken	cluster_91
SRR10027152	2019	Chicken	cluster_86
SRR10027171	2019	Chicken	cluster_82
SRR10029300	2019	Chicken	cluster_91
SRR10032651	2019	Chicken	cluster_62
SRR10032654	2019	Chicken	cluster_6
SRR10036909	Unknown	Human	cluster_57
SRR10037278	2019	Chicken	cluster_91
SRR10039074	2019	Chicken	cluster_82
SRR10043664	2019	Chicken	cluster_91
SRR10044364	2019	Chicken	cluster_82
SRR10045181	2019	Chicken	cluster_86
SRR10045190	2019	Chicken	cluster_86
SRR10045193	2019	Chicken	cluster_75
SRR10045194	2019	Unspecified Poultry	cluster_91
SRR10045209	2019	Chicken	cluster_79
SRR10045211	2019	Chicken	cluster_82
SRR10049757	2019	Chicken	cluster_86
SRR10060553	2019	Chicken	cluster_86
SRR10060947	2019	Bovine	cluster_86
SRR10061003	2019	Chicken	cluster_91
SRR10061448	2019	Chicken	cluster_91
SRR10061451	2019	Chicken	cluster_86
SRR10062491	2019	Chicken	cluster_91
SRR10062814	2019	Chicken	cluster_79
SRR10066304	2019	Chicken	cluster_86
SRR10075980	2019	Chicken	cluster_91
SRR10075992	2019	Chicken	cluster_82
SRR10076001	2019	Chicken	cluster_86
SRR10078932	2019	Chicken	cluster_86
SRR10078943	2019	Chicken	cluster_86
SRR10082228	2019	Chicken	cluster_66
SRR10082229	2019	Chicken	cluster_91
SRR10082236	2019	Chicken	cluster_86
SRR10082239	2019	Chicken	cluster_72
SRR10082240	2019	Chicken	cluster_82
SRR10082241	2019	Chicken	cluster_54
SRR10082245	2019	Chicken	cluster_86
SRR10082248	2019	Chicken	cluster_82
SRR10082254	2019	Chicken	cluster_75
SRR10082278	2019	Chicken	cluster_55
SRR10082290	2019	Chicken	cluster_86
SRR10082298	2019	Chicken	cluster_54
SRR10082375	2019	Chicken	cluster_91
SRR10084379	2019	Human	cluster_57
SRR10088601	2019	Chicken	cluster_86
SRR10088604	2019	Chicken	cluster_82
SRR10094669	2019	Chicken	cluster_91
SRR10094681	2019	Chicken	cluster_86
SRR10094682	2019	Chicken	cluster_82
SRR10095078	2019	Chicken	cluster_20
SRR10100192	2019	Human	cluster_57
SRR10100583	2019	Bovine	cluster_91
SRR10103758	2019	Chicken	cluster_86
SRR10108703	2019	Human	cluster_57
SRR10113215	2019	Chicken	cluster_86
SRR10113218	2019	Chicken	cluster_86
SRR10113613	2019	Chicken	cluster_91
SRR10119411	2019	Chicken	cluster_91
SRR10123451	2019	Chicken	cluster_86
SRR10123465	2019	Chicken	cluster_86
SRR10123471	2019	Chicken	cluster_82
SRR10123500	2019	Chicken	cluster_91
SRR10123514	2019	Chicken	cluster_82
SRR10123515	2019	Chicken	cluster_91
SRR10123518	2019	Chicken	cluster_86
SRR10123520	2019	Chicken	cluster_91
SRR10126626	2019	Bovine	cluster_85
SRR10126627	2019	Chicken	cluster_54
SRR10129542	2019	Chicken	cluster_91
SRR10130078	2019	Human	singleton_39
SRR10130095	2019	Chicken	cluster_86
SRR10130845	2019	Chicken	cluster_86
SRR10153192	2019	Human	cluster_57
SRR10153652	2019	Chicken	cluster_91
SRR10153692	2019	Chicken	cluster_86
SRR10153944	2019	Chicken	cluster_91
SRR10154183	2019	Chicken	cluster_91
SRR10154185	2019	Chicken	cluster_91
SRR10155175	2019	Chicken	cluster_86
SRR10156080	2019	Bovine	cluster_1
SRR10156137	2019	Chicken	cluster_54
SRR10156142	2019	Chicken	cluster_80
SRR10156172	2019	Chicken	cluster_91
SRR10162499	2019	Chicken	cluster_86
SRR10162502	2019	Chicken	cluster_86
SRR10162505	2019	Chicken	cluster_91
SRR10162506	2019	Chicken	cluster_82
SRR10162565	2019	Chicken	cluster_82
SRR10162570	2019	Chicken	cluster_91
SRR10162579	2019	Chicken	cluster_43
SRR10162580	2019	Chicken	cluster_91
SRR10162617	2019	Human	cluster_55
SRR10162647	2019	Chicken	cluster_86
SRR10162655	2019	Chicken	cluster_92
