ID	Year	Source	MST-14	MST-49	MST-65	MST-83	MST-96	MST-110	MST-129	MST-145	MST-154	MST-167	MST-224	MST-426	MST-490	MST-656
SRR10008463	2019	Bovine	cluster_35	cluster_56	cluster_58	cluster_52	cluster_46	cluster_46	cluster_51	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10012341	Unknown	Unspecified Animal	singleton_611	singleton_416	cluster_64	cluster_56	cluster_50	cluster_51	cluster_55	cluster_62	cluster_56	cluster_44	cluster_2	cluster_1	cluster_2	cluster_1
SRR10024012	Unknown	Human	singleton_561	singleton_387	singleton_356	singleton_328	singleton_311	singleton_290	singleton_239	singleton_192	singleton_175	singleton_122	cluster_9	cluster_4	cluster_3	cluster_2
SRR10034999	2019	Human	singleton_559	singleton_385	singleton_354	singleton_326	singleton_309	singleton_288	singleton_237	singleton_190	singleton_173	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10035360	2019	Human	cluster_57	cluster_38	cluster_40	cluster_35	cluster_27	cluster_21	cluster_22	cluster_23	cluster_18	cluster_55	cluster_9	cluster_4	cluster_3	cluster_2
SRR10036973	2019	Human	singleton_610	singleton_415	cluster_64	cluster_56	cluster_50	cluster_51	cluster_55	cluster_62	cluster_56	cluster_44	cluster_2	cluster_1	cluster_2	cluster_1
SRR10037997	2019	Bovine	cluster_109	cluster_80	cluster_82	cluster_74	cluster_72	cluster_71	cluster_69	cluster_72	cluster_65	cluster_52	cluster_8	cluster_3	cluster_2	cluster_1
SRR10045206	2019	Bovine	cluster_19	cluster_4	cluster_4	cluster_2	cluster_2	cluster_2	cluster_1	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10051049	Unknown	Human	singleton_408	singleton_240	singleton_209	singleton_183	singleton_168	singleton_156	singleton_132	cluster_30	cluster_26	cluster_19	cluster_9	cluster_4	cluster_3	cluster_2
SRR10061043	2019	Human	singleton_247	singleton_93	singleton_69	cluster_21	cluster_14	cluster_8	cluster_8	cluster_6	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10067821	2019	Human	singleton_223	singleton_72	cluster_23	cluster_19	cluster_24	cluster_45	cluster_50	cluster_57	cluster_52	cluster_55	cluster_9	cluster_4	cluster_3	cluster_2
SRR10068000	2019	Human	singleton_384	singleton_217	singleton_187	singleton_161	cluster_27	cluster_21	cluster_22	cluster_23	cluster_18	cluster_55	cluster_9	cluster_4	cluster_3	cluster_2
SRR10075142	2019	Human	singleton_237	singleton_83	cluster_56	cluster_51	cluster_45	cluster_44	cluster_50	cluster_57	cluster_52	cluster_55	cluster_9	cluster_4	cluster_3	cluster_2
SRR10080193	2019	Human	singleton_294	singleton_131	singleton_103	singleton_80	singleton_70	singleton_65	singleton_52	singleton_39	singleton_34	singleton_28	cluster_9	cluster_4	cluster_3	cluster_2
SRR10087574	Unknown	Human	singleton_508	singleton_336	singleton_305	singleton_277	singleton_261	singleton_247	cluster_42	cluster_47	cluster_42	cluster_54	cluster_9	cluster_4	cluster_3	cluster_2
SRR10095830	2019	Human	cluster_57	cluster_38	cluster_40	cluster_35	cluster_27	cluster_21	cluster_22	cluster_23	cluster_18	cluster_55	cluster_9	cluster_4	cluster_3	cluster_2
SRR10095877	2019	Human	singleton_590	cluster_59	cluster_81	cluster_73	cluster_71	cluster_70	cluster_68	cluster_71	cluster_64	cluster_51	cluster_7	cluster_3	cluster_2	cluster_1
SRR10108403	Unknown	Human	singleton_492	singleton_320	singleton_289	singleton_261	singleton_245	singleton_231	cluster_66	cluster_74	cluster_67	cluster_54	cluster_9	cluster_4	cluster_3	cluster_2
SRR10108483	2019	Human	singleton_551	singleton_377	singleton_346	singleton_318	singleton_301	singleton_281	cluster_48	cluster_54	cluster_49	cluster_39	cluster_9	cluster_4	cluster_3	cluster_2
SRR10117782	2019	Human	cluster_109	cluster_80	cluster_82	cluster_74	cluster_72	cluster_71	cluster_69	cluster_72	cluster_65	cluster_52	cluster_8	cluster_3	cluster_2	cluster_1
SRR10136212	2019	Human	singleton_234	singleton_81	cluster_24	cluster_20	cluster_13	cluster_45	cluster_50	cluster_57	cluster_52	cluster_55	cluster_9	cluster_4	cluster_3	cluster_2
SRR10152522	2019	Human	cluster_109	cluster_80	cluster_82	cluster_74	cluster_72	cluster_71	cluster_69	cluster_72	cluster_65	cluster_52	cluster_8	cluster_3	cluster_2	cluster_1
SRR10156113	2019	Bovine	cluster_12	cluster_4	cluster_4	cluster_2	cluster_2	cluster_2	cluster_1	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10159670	2019	Human	cluster_6	cluster_2	cluster_2	cluster_1	cluster_1	cluster_1	cluster_67	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10164114	2019	Swine	cluster_37	cluster_56	cluster_58	cluster_52	cluster_46	cluster_46	cluster_51	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10173837	2019	Bovine	singleton_164	cluster_55	cluster_57	cluster_52	cluster_46	cluster_46	cluster_51	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10187033	2019	Bovine	cluster_19	cluster_4	cluster_4	cluster_2	cluster_2	cluster_2	cluster_1	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10210303	2019	Human	singleton_124	singleton_44	singleton_37	singleton_23	singleton_21	singleton_19	singleton_14	cluster_3	cluster_3	cluster_3	cluster_9	cluster_4	cluster_3	cluster_2
SRR10225475	2019	Human	singleton_297	singleton_134	singleton_106	singleton_83	singleton_73	singleton_68	singleton_55	singleton_40	singleton_35	singleton_29	cluster_9	cluster_4	cluster_3	cluster_2
SRR10245363	2019	Human	singleton_407	singleton_239	singleton_208	singleton_182	singleton_167	singleton_155	singleton_131	cluster_30	cluster_26	cluster_19	cluster_9	cluster_4	cluster_3	cluster_2
SRR10257003	2019	Human	singleton_387	singleton_220	singleton_190	singleton_164	singleton_152	singleton_142	cluster_25	cluster_28	cluster_23	cluster_17	cluster_9	cluster_4	cluster_3	cluster_2
SRR10269632	2019	Bovine	singleton_163	cluster_55	cluster_57	cluster_52	cluster_46	cluster_46	cluster_51	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10270048	Unknown	Human	cluster_61	cluster_43	cluster_46	cluster_41	cluster_34	cluster_30	cluster_32	cluster_36	cluster_31	cluster_26	cluster_9	cluster_4	cluster_3	cluster_2
SRR10276519	2019	Human	singleton_404	singleton_236	cluster_41	cluster_36	cluster_29	cluster_25	cluster_27	cluster_30	cluster_26	cluster_19	cluster_9	cluster_4	cluster_3	cluster_2
SRR10286830	2019	Human	singleton_310	singleton_145	cluster_41	cluster_36	cluster_29	cluster_25	cluster_27	cluster_30	cluster_26	cluster_19	cluster_9	cluster_4	cluster_3	cluster_2
SRR10302162	2019	Human	singleton_585	singleton_403	singleton_370	singleton_341	singleton_323	singleton_301	cluster_68	cluster_71	cluster_64	cluster_51	cluster_7	cluster_3	cluster_2	cluster_1
SRR10346337	2019	Human	singleton_606	cluster_62	cluster_62	cluster_57	cluster_51	cluster_55	cluster_58	cluster_62	cluster_56	cluster_44	cluster_2	cluster_1	cluster_2	cluster_1
SRR10357016	2019	Bovine	singleton_235	cluster_23	cluster_25	cluster_20	cluster_13	cluster_45	cluster_50	cluster_57	cluster_52	cluster_55	cluster_9	cluster_4	cluster_3	cluster_2
SRR10380784	2019	Human	singleton_456	singleton_286	singleton_255	singleton_227	singleton_212	singleton_198	singleton_167	singleton_136	singleton_122	singleton_84	cluster_9	cluster_4	cluster_3	cluster_2
SRR10395324	2019	Human	singleton_363	singleton_196	singleton_166	singleton_140	singleton_129	singleton_121	singleton_99	singleton_78	singleton_69	cluster_55	cluster_9	cluster_4	cluster_3	cluster_2
SRR10416895	2019	Bovine	cluster_29	cluster_55	cluster_57	cluster_52	cluster_46	cluster_46	cluster_51	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10418203	2019	Human	singleton_792	singleton_535	singleton_494	singleton_455	singleton_424	singleton_384	singleton_293	cluster_77	cluster_70	cluster_57	cluster_9	cluster_4	cluster_3	cluster_2
SRR10426631	2019	Human	singleton_409	singleton_241	singleton_210	cluster_36	cluster_29	cluster_25	cluster_27	cluster_30	cluster_26	cluster_19	cluster_9	cluster_4	cluster_3	cluster_2
SRR10430408	2019	Human	singleton_74	singleton_12	singleton_9	cluster_67	cluster_65	cluster_67	cluster_67	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10448238	2019	Human	singleton_13	cluster_2	cluster_2	cluster_1	cluster_1	cluster_1	cluster_67	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10490496	2019	Human	singleton_422	singleton_252	singleton_221	singleton_193	singleton_178	singleton_164	singleton_139	singleton_109	singleton_98	cluster_20	cluster_9	cluster_4	cluster_3	cluster_2
SRR10500074	2019	Human	singleton_75	cluster_6	cluster_6	cluster_67	cluster_65	cluster_67	cluster_67	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10531332	2019	Human	singleton_682	singleton_478	singleton_441	singleton_408	singleton_382	singleton_349	cluster_68	cluster_71	cluster_64	cluster_51	cluster_7	cluster_3	cluster_2	cluster_1
SRR10574786	2019	Bovine	cluster_19	cluster_4	cluster_4	cluster_2	cluster_2	cluster_2	cluster_1	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10574876	2019	Bovine	cluster_19	cluster_4	cluster_4	cluster_2	cluster_2	cluster_2	cluster_1	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10608484	2019	Human	cluster_64	cluster_47	cluster_50	cluster_45	cluster_38	cluster_34	cluster_37	cluster_42	cluster_38	cluster_31	cluster_9	cluster_4	cluster_3	cluster_2
SRR10608738	2019	Human	singleton_494	singleton_322	singleton_291	singleton_263	singleton_247	singleton_233	cluster_66	cluster_74	cluster_67	cluster_54	cluster_9	cluster_4	cluster_3	cluster_2
SRR10612307	2019	Swine	cluster_19	cluster_4	cluster_4	cluster_2	cluster_2	cluster_2	cluster_1	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10615477	2019	Human	singleton_750	singleton_513	singleton_472	singleton_433	singleton_403	cluster_74	cluster_74	cluster_77	cluster_70	cluster_57	cluster_9	cluster_4	cluster_3	cluster_2
SRR10678217	2019	Human	singleton_588	singleton_405	singleton_372	singleton_343	singleton_325	singleton_303	singleton_250	cluster_71	cluster_64	cluster_51	cluster_7	cluster_3	cluster_2	cluster_1
SRR10696304	2019	Human	singleton_416	singleton_246	singleton_215	singleton_187	singleton_172	cluster_26	cluster_28	cluster_31	cluster_27	cluster_53	cluster_9	cluster_4	cluster_3	cluster_2
SRR10759713	2019	Human	cluster_88	cluster_68	cluster_69	cluster_61	cluster_58	cluster_59	cluster_68	cluster_71	cluster_64	cluster_51	cluster_7	cluster_3	cluster_2	cluster_1
SRR10759728	2019	Human	singleton_531	singleton_359	singleton_328	singleton_300	singleton_283	cluster_40	cluster_44	cluster_49	cluster_44	cluster_36	cluster_9	cluster_4	cluster_3	cluster_2
SRR10759829	2019	Human	singleton_152	singleton_57	cluster_16	cluster_14	cluster_9	cluster_9	cluster_9	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
SRR10761045	2019	Human	singleton_91	singleton_19	cluster_75	cluster_67	cluster_65	cluster_67	cluster_67	cluster_70	cluster_63	cluster_49	cluster_9	cluster_4	cluster_3	cluster_2
