ID	Year	Source	MST-14	MST-55	MST-64	MST-75	MST-83	MST-97	MST-114	MST-129	MST-139	MST-3065
RS3092	Unknown	Chicken	singleton_1359	cluster_55	cluster_50	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
RS3096	2019	Turkey	cluster_465	cluster_85	cluster_67	cluster_44	cluster_37	cluster_19	cluster_11	cluster_5	cluster_4	cluster_2
RS3195	2017	Turkey	cluster_465	cluster_85	cluster_67	cluster_44	cluster_37	cluster_19	cluster_11	cluster_5	cluster_4	cluster_2
RS3201	2018	Turkey	cluster_465	cluster_85	cluster_67	cluster_44	cluster_37	cluster_19	cluster_11	cluster_5	cluster_4	cluster_2
RS3206	2021	Chicken	singleton_3981	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
RS3209	2021	Chicken	cluster_357	cluster_76	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10005237	2019	Chicken	singleton_5769	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10005543	2019	Chicken	cluster_256	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10007589	2019	Chicken	cluster_246	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10007625	2019	Chicken	cluster_236	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10008461	2019	Chicken	cluster_279	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10008473	2019	Chicken	singleton_2672	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10008478	2019	Chicken	cluster_248	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10008481	2019	Chicken	cluster_419	cluster_76	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10013297	2019	Chicken	cluster_250	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10013406	2019	Chicken	cluster_207	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10013428	2019	Chicken	cluster_207	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10014235	2019	Human	singleton_6075	cluster_87	cluster_69	cluster_45	cluster_38	cluster_19	cluster_11	cluster_5	cluster_4	cluster_2
SRR10024654	2019	Human	cluster_448	cluster_87	cluster_69	cluster_45	cluster_38	cluster_19	cluster_11	cluster_5	cluster_4	cluster_2
SRR10024927	2019	Chicken	cluster_407	cluster_76	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10024933	2019	Chicken	cluster_250	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10024939	2019	Chicken	cluster_218	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10024943	2019	Chicken	cluster_86	cluster_58	cluster_52	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10024975	2019	Chicken	cluster_197	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10027026	2019	Chicken	cluster_419	cluster_76	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10027151	2019	Chicken	singleton_2112	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10027152	2019	Chicken	singleton_3016	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10027171	2019	Chicken	cluster_407	cluster_76	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10029300	2019	Chicken	singleton_835	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10032651	2019	Chicken	singleton_3974	cluster_54	cluster_49	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10032654	2019	Chicken	singleton_4867	cluster_66	cluster_58	cluster_38	cluster_32	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10036909	Unknown	Human	cluster_446	cluster_87	cluster_69	cluster_45	cluster_38	cluster_19	cluster_11	cluster_5	cluster_4	cluster_2
SRR10037278	2019	Chicken	singleton_2699	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10039074	2019	Chicken	singleton_5372	cluster_76	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10043664	2019	Chicken	singleton_3987	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10044364	2019	Chicken	singleton_1112	cluster_76	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10045181	2019	Chicken	cluster_248	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10045190	2019	Chicken	cluster_67	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10045193	2019	Chicken	singleton_1182	cluster_55	cluster_50	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10045194	2019	Unspecified Poultry	singleton_4866	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10045209	2019	Chicken	singleton_4695	cluster_57	cluster_51	cluster_35	cluster_30	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10045211	2019	Chicken	cluster_419	cluster_76	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10049757	2019	Chicken	singleton_490	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10060553	2019	Chicken	cluster_148	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10060947	2019	Bovine	singleton_2057	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10061003	2019	Chicken	cluster_288	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10061448	2019	Chicken	cluster_287	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10061451	2019	Chicken	cluster_250	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10062491	2019	Chicken	singleton_3343	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10062814	2019	Chicken	singleton_2693	cluster_57	cluster_51	cluster_35	cluster_30	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10066304	2019	Chicken	cluster_219	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10075980	2019	Chicken	cluster_397	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10075992	2019	Chicken	singleton_5546	cluster_75	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10076001	2019	Chicken	singleton_1304	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10078932	2019	Chicken	cluster_221	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10078943	2019	Chicken	singleton_1482	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10082228	2019	Chicken	singleton_3520	cluster_10	cluster_7	cluster_29	cluster_26	cluster_16	cluster_10	cluster_4	cluster_3	cluster_1
SRR10082229	2019	Chicken	cluster_262	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10082236	2019	Chicken	singleton_320	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10082239	2019	Chicken	singleton_168	cluster_17	cluster_11	cluster_12	cluster_9	cluster_6	cluster_3	cluster_4	cluster_3	cluster_1
SRR10082240	2019	Chicken	cluster_419	cluster_76	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10082241	2019	Chicken	singleton_1242	cluster_43	cluster_40	cluster_36	cluster_31	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10082245	2019	Chicken	cluster_386	cluster_72	cluster_62	cluster_40	cluster_34	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
SRR10082248	2019	Chicken	singleton_4080	cluster_76	cluster_64	cluster_42	cluster_36	cluster_18	cluster_10	cluster_4	cluster_3	cluster_1
