ID	Year	Source	MST-14	MST-66	MST-109	MST-127	MST-141	MST-173	MST-184
RS3084	2021	Chicken	cluster_491	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
RS3115	2020	Turkey	singleton_3058	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
RS3116	2020	Turkey	singleton_3107	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
RS3203	2018	Turkey	cluster_69	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
RS3214	2020	Chicken	cluster_424	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10001026	2019	Human	cluster_429	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10001039	2019	Human	cluster_491	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10001093	2019	Human	singleton_1150	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10001138	2019	Human	cluster_491	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10002180	2019	Human	cluster_479	cluster_17	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10002244	2019	Human	cluster_363	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10002523	Unknown	Unspecified Animal	cluster_55	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10002647	Unknown	Unspecified Animal	singleton_869	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10003427	2019	Human	cluster_478	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10003566	2019	Human	singleton_3022	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10003617	2019	Human	singleton_2655	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10007590	2019	Human	cluster_309	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10008464	2019	Bovine	cluster_494	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10009647	2019	Human	singleton_1807	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
SRR10010165	Unknown	Unspecified Animal	singleton_2751	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1
