ID	Year	Source	MST-14	MST-18	MST-34	MST-50	MST-56	MST-65	MST-1761
RS317	2016	Other	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
RS322	2017	Turkey	singleton_208	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
RS326	2018	Other	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
RS328	2017	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
RS330	2018	Other	singleton_209	singleton_153	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
RS331	2018	Other	singleton_188	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
RS338	2018	Other	singleton_210	singleton_154	singleton_56	cluster_20	cluster_19	cluster_16	cluster_2
SRR10010427	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10012381	Unknown	Unspecified Animal	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10013587	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10023901	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10029989	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10037901	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10045195	2019	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10050059	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10062487	2019	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10065885	2019	Human	cluster_19	cluster_13	cluster_9	cluster_9	cluster_10	cluster_9	cluster_2
SRR10067866	2019	Swine	cluster_23	cluster_16	cluster_14	cluster_16	cluster_17	cluster_14	cluster_1
SRR10071635	2019	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10082185	2019	Human	singleton_131	singleton_106	cluster_14	cluster_16	cluster_17	cluster_14	cluster_1
SRR10093370	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10096559	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10100576	2019	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10113074	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10113603	2019	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10129682	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10133177	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10136222	2019	Human	singleton_13	singleton_11	cluster_7	cluster_7	cluster_8	cluster_7	cluster_2
SRR10137411	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10152447	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10156083	2019	Swine	cluster_23	cluster_16	cluster_14	cluster_16	cluster_17	cluster_14	cluster_1
SRR10162648	2019	Other Animal	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10162651	2019	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10163950	2019	Human	cluster_23	cluster_16	cluster_14	cluster_16	cluster_17	cluster_14	cluster_1
SRR10164090	2019	Swine	singleton_175	singleton_137	cluster_18	cluster_15	cluster_16	cluster_14	cluster_1
SRR10174207	2019	Human	singleton_55	singleton_46	cluster_5	cluster_4	cluster_4	cluster_3	cluster_2
SRR10176053	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10186928	2019	Swine	cluster_23	cluster_16	cluster_14	cluster_16	cluster_17	cluster_14	cluster_1
SRR10186946	2019	Swine	cluster_28	cluster_23	cluster_18	cluster_15	cluster_16	cluster_14	cluster_1
SRR10187031	2019	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10189769	2019	Human	cluster_28	cluster_23	cluster_18	cluster_15	cluster_16	cluster_14	cluster_1
SRR10190451	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10197208	2019	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10203758	2019	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10206159	2019	Human	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
SRR10210186	2019	Turkey	cluster_32	cluster_27	cluster_24	cluster_20	cluster_19	cluster_16	cluster_2
