ID	Year	Source	MST-14	MST-59	MST-75	MST-84	MST-102	MST-115	MST-122	MST-137	MST-520	MST-3333
SRR10010456	2019	Human	cluster_4	cluster_2	cluster_2	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1
SRR10010914	2019	Human	cluster_4	cluster_2	cluster_2	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1
SRR10012585	Unknown	Unspecified Animal	singleton_508	cluster_13	cluster_12	cluster_11	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10013146	2019	Human	singleton_851	cluster_14	cluster_13	cluster_12	cluster_16	cluster_15	cluster_13	cluster_12	cluster_10	cluster_2
SRR10015236	2019	Human	cluster_11	cluster_7	cluster_7	cluster_6	cluster_6	cluster_6	cluster_6	cluster_6	cluster_5	cluster_1
SRR10036495	2019	Human	cluster_165	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10038015	2019	Swine	singleton_1105	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10045183	2019	Swine	singleton_1096	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10079526	2019	Human	cluster_11	cluster_7	cluster_7	cluster_6	cluster_6	cluster_6	cluster_6	cluster_6	cluster_5	cluster_1
SRR10079533	2019	Human	cluster_11	cluster_7	cluster_7	cluster_6	cluster_6	cluster_6	cluster_6	cluster_6	cluster_5	cluster_1
SRR10082249	2019	Turkey	singleton_859	cluster_11	cluster_11	cluster_10	cluster_10	cluster_10	cluster_10	cluster_10	cluster_9	cluster_1
SRR10084945	2019	Human	singleton_117	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10096413	2019	Human	singleton_462	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10097579	2019	Human	singleton_819	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10119685	2019	Human	cluster_65	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10123452	2019	Swine	singleton_191	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10137398	2019	Human	cluster_4	cluster_2	cluster_2	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1	cluster_1
SRR10154429	2019	Human	singleton_312	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10156813	2019	Human	cluster_54	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10164568	2019	Swine	cluster_94	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10165155	2019	Swine	cluster_105	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10165172	2019	Swine	singleton_428	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10165187	2019	Swine	singleton_1097	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10165190	2019	Swine	singleton_184	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10166230	2019	Swine	singleton_74	singleton_16	cluster_12	cluster_11	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10173304	2019	Human	singleton_232	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10175712	2019	Human	cluster_48	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10176056	2019	Human	singleton_415	cluster_19	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10190803	2019	Human	singleton_272	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10202655	2019	Human	singleton_552	cluster_21	cluster_19	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10203778	2019	Swine	singleton_287	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10207187	2019	Human	cluster_62	cluster_26	cluster_19	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10215596	2019	Human	cluster_48	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10222644	2019	Swine	singleton_891	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10245405	2019	Human	cluster_133	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10250682	2019	Human	singleton_792	cluster_25	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10276549	2019	Human	singleton_345	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10286861	2019	Human	cluster_44	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10317133	2019	Swine	singleton_913	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10319751	2019	Swine	singleton_986	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10321181	2019	Human	singleton_796	cluster_26	cluster_19	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10325402	2019	Human	singleton_1	singleton_1	singleton_1	singleton_1	singleton_1	singleton_1	singleton_1	singleton_1	singleton_1	cluster_1
SRR10336405	2019	Human	singleton_78	cluster_25	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10340461	2019	Human	cluster_11	cluster_7	cluster_7	cluster_6	cluster_6	cluster_6	cluster_6	cluster_6	cluster_5	cluster_1
SRR10341215	2019	Swine	cluster_98	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10342337	2019	Human	singleton_763	cluster_25	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10343018	2019	Swine	singleton_981	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10343286	2019	Swine	cluster_34	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10360917	2019	Swine	singleton_310	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10363867	2019	Swine	singleton_731	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10363938	2019	Swine	cluster_94	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10395213	Unknown	Unspecified Animal	singleton_755	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10397774	2019	Swine	singleton_689	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10397795	2019	Human	singleton_41	cluster_6	cluster_6	cluster_5	cluster_5	cluster_5	cluster_5	cluster_5	cluster_4	cluster_2
SRR10419416	2019	Human	singleton_420	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10444502	2019	Human	singleton_632	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10447362	2019	Swine	singleton_705	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10451668	2019	Human	cluster_9	cluster_6	cluster_6	cluster_5	cluster_5	cluster_5	cluster_5	cluster_5	cluster_4	cluster_2
SRR10467375	2019	Swine	singleton_855	cluster_30	cluster_24	cluster_20	cluster_16	cluster_15	cluster_13	cluster_12	cluster_10	cluster_2
SRR10480658	2019	Bovine	singleton_433	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10480680	2019	Swine	singleton_226	singleton_21	singleton_15	singleton_14	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10490426	2019	Human	singleton_463	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10491520	2019	Human	cluster_81	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10502103	2019	Human	singleton_441	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10503753	2019	Swine	singleton_680	cluster_29	cluster_22	cluster_19	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10513386	2019	Human	cluster_164	cluster_35	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
SRR10517469	2019	Swine	singleton_854	cluster_30	cluster_24	cluster_20	cluster_16	cluster_15	cluster_13	cluster_12	cluster_10	cluster_2
SRR10532670	2019	Human	singleton_106	cluster_37	cluster_27	cluster_21	cluster_17	cluster_16	cluster_14	cluster_13	cluster_10	cluster_2
